algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,waitingAvgMean,waitingAvgStd,waitingCountMean,waitingSumMean,travelAvgMean,travelAvgStd,travelCountMean,travelSumMean,distanceAvgMean,distanceAvgStd,distanceCountMean,distanceSumMean,calculationAvgMean,calculationAvgStd,calculationCountMean,calculationSumMean,communicationAvgMean,communicationAvgStd,communicationCountMean,communicationSumMean,simulationAvgMean,simulationAvgStd,simulationCountMean,simulationSumMean,servedClients,servedRatio,totalTaxiDistanceKm,communicationTotalMs,kmPerServedClient,calculationMsPerServedClient,communicationMsPerServedClient,centralWaitingAvgMean,centralWaitingAvgStd,centralTravelAvgMean,centralDistanceAvgMean,centralCalculationAvgMean,centralCalculationSumMean,centralServedClients,centralServedRatio,centralKmPerServedClient,centralCalculationMsPerServedClient,waitingDeltaPct,travelDeltaPct,distanceDeltaPct,kmPerServedClientDeltaPct,calculationMsPerServedClientDeltaPct,pickupGapPoints,currentPass0,extendedPass0,currentPass5,extendedPass5,currentPass10,extendedPass10,currentPass15,extendedPass15,pickupPct
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,False,none,none,6.213748333333333,0.6770657286349496,612.4,3802.15,14.050640000000001,0.8067484954363962,638.0,8964.308333333334,67.8687698,1.702821131440397,39.0,2646.8820224,0.0199,0.0011005049346146125,88542.7,1746.8,0.0506,0.0038355066303046724,88542.7,4474.9,0.0251,0.0011972189997378638,88542.7,2220.8,612.4,0.9598746081504702,2646.8820222,4.4749,4.321898479324002,2.8534568578648383,0.007306058339577327,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,263.35726315132894,48.57826069485638,-11.334515167557113,-7.633338054556649,626.4586892728519,4.0125391849529795,False,False,False,False,False,False,False,False,95.98746081504702
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg,past-avg,2.580945,0.2316658534558068,635.7,1640.525,10.193975,0.2461027443084961,638.0,6503.755,119.4923548,2.5291329028492426,39.0,4660.2018343,0.0128,0.0012292725943057184,87259.1,1125.8,0.0624,0.0049035134795822125,87259.1,5455.1,0.019,0.0014142135623730955,87259.1,1651.6,635.7,0.9963949843260189,4660.2018372,5.455100000000001,7.330756919555159,1.7712778887136005,0.0085818725705514,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,50.92421856117013,7.7960203283870655,56.10784759078224,56.67132151116159,350.94784237800366,0.36050156739810824,False,False,False,False,False,False,False,False,99.6394984326019
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,6.139686666666667,0.5483706903744292,612.9,3759.9266666666663,13.972441666666665,0.7875251323933953,638.0,8914.416666666668,68.0446318,1.5797158149781831,39.0,2653.740645,0.0267,0.001494434118097326,88695.8,2364.2,0.0668,0.004709328803319828,88695.8,5913.9,0.0332,0.0018135294011647257,88695.8,2956.6,612.9,0.9606583072100313,2653.7406402,5.9139,4.329575065989315,3.8584228737880935,0.009649917058667728,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,259.0264079153574,47.75135371012802,-11.104764583605842,-7.469275735924697,882.3119686659232,3.9341692789968685,False,False,False,False,False,False,False,False,96.06583072100314
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,2.4603383333333335,0.23414234275276447,636.3,1565.5266666666666,10.088371666666665,0.2754680478267065,638.0,6436.38,134.6401137,3.713614851433301,39.0,5250.9644289,0.0125,0.0017159383568311668,87095.5,1083.2,0.0645,0.002953340857778229,87095.5,5603.1,0.0186,0.0016465452046971294,87095.5,1631.0,636.3,0.9973354231974921,5250.9644343,5.6031,8.252321510647786,1.702425029070173,0.008806032262291411,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,43.87158205789938,6.679319623632973,75.8972645929076,76.36679688004564,333.41866262839994,0.26645768025078675,False,False,False,False,False,False,False,False,99.73354231974922
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,True,random,random,1.980678333333333,0.07514739304925205,637.6,1262.8633333333332,9.652893333333333,0.169211193957415,638.0,6158.545,261.32467269999995,15.207578972633817,39.0,10191.6622348,0.0092,0.000632455532033676,87057.1,791.5,0.0782,0.004589843860815605,87057.1,6807.9,0.015099999999999999,0.0007378647873726224,87057.1,1323.3,637.6,0.9993730407523511,10191.662235299998,6.8079,15.984707443411978,1.2414250270905165,0.010677404821686354,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,15.822820586790565,2.0743611778282656,241.40119044304456,241.6216451602958,216.0531393789902,0.06269592476488839,False,False,False,False,False,False,False,False,99.93730407523512
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,False,none,none,6.213748333333333,0.6770657286349496,612.4,3802.15,14.050640000000001,0.8067484954363962,638.0,8964.308333333334,67.8687698,1.702821131440397,39.0,2646.8820224,0.0217,0.0010593499054713789,88542.7,1926.3,0.0911,0.0635215623933235,88542.7,8120.1,0.027500000000000004,0.0015092308563562362,88542.7,2445.3,612.4,0.9598746081504702,2646.8820222,8.1201,4.321898479324002,3.146785474524295,0.0132198044190485,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,263.35726315132894,48.57826069485638,-11.334515167557113,-7.633338054556649,701.1369244798484,4.0125391849529795,False,False,False,False,False,False,False,False,95.98746081504702
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,True,past-avg,past-avg,2.580945,0.2316658534558068,635.7,1640.525,10.193975,0.24610274430849605,638.0,6503.755,119.4923548,2.529132902849243,39.0,4660.2018343,0.0129,0.001100504934614612,87259.1,1122.6,0.0626,0.0017763883459298987,87259.1,5452.6,0.0185,0.0012692955176439842,87259.1,1620.5,635.7,0.9963949843260189,4660.2018372,5.4526,7.330756919555159,1.7662336387718462,0.008577253018583496,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,50.92421856117013,7.7960203283870655,56.10784759078224,56.67132151116159,349.6636318980199,0.36050156739810824,False,False,False,False,False,False,False,False,99.6394984326019
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,6.139686666666667,0.5483706903744292,612.9,3759.9266666666663,13.972441666666665,0.7875251323933953,638.0,8914.416666666668,68.0446318,1.5797158149781831,39.0,2653.740645,0.0224,0.0011737877907772672,88695.8,1992.3,0.0522,0.0033266599866332383,88695.8,4612.8,0.028300000000000002,0.0009486832980505137,88695.8,2516.6,612.9,0.9606583072100313,2653.7406402,4.6128,4.329575065989315,3.251460265879871,0.0075250012679648455,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,259.0264079153574,47.75135371012802,-11.104764583605842,-7.469275735924697,727.7859735161043,3.9341692789968685,False,False,False,False,False,False,False,False,96.06583072100314
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,True,past-avg-total,past-avg-total,2.4603383333333335,0.23414234275276447,636.3,1565.5266666666666,10.088371666666665,0.2754680478267065,638.0,6436.38,134.6401137,3.713614851433301,39.0,5250.9644289,0.0124,0.0012649110640673518,87095.5,1081.0,0.0671,0.007248754682319192,87095.5,5846.5,0.0186,0.0015776212754932304,87095.5,1619.3,636.3,0.9973354231974921,5250.9644343,5.8465,8.252321510647786,1.6988906602611507,0.009188229418696039,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,43.87158205789938,6.679319623632973,75.8972645929076,76.36679688004564,332.51885125563206,0.26645768025078675,False,False,False,False,False,False,False,False,99.73354231974922
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,True,random,random,1.980678333333333,0.07514739304925205,637.6,1262.8633333333332,9.652893333333333,0.169211193957415,638.0,6158.545,261.32467269999995,15.207578972633817,39.0,10191.6622348,0.0093,0.000674948557710553,87057.1,800.6,0.07680000000000001,0.006232531142677463,87057.1,6692.9,0.0153,0.0006749485577105528,87057.1,1337.0,637.6,0.9993730407523511,10191.662235299998,6.6929,15.984707443411978,1.255686824870764,0.010497324048755408,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,15.822820586790565,2.0743611778282656,241.40119044304456,241.6216451602958,219.68403602056958,0.06269592476488839,False,False,False,False,False,False,False,False,99.93730407523512
