algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,waitingAvgMean,waitingAvgStd,waitingCountMean,waitingSumMean,travelAvgMean,travelAvgStd,travelCountMean,travelSumMean,distanceAvgMean,distanceAvgStd,distanceCountMean,distanceSumMean,calculationAvgMean,calculationAvgStd,calculationCountMean,calculationSumMean,communicationAvgMean,communicationAvgStd,communicationCountMean,communicationSumMean,simulationAvgMean,simulationAvgStd,simulationCountMean,simulationSumMean,servedClients,servedRatio,totalTaxiDistanceKm,kmPerServedClient,calculationMsPerServedClient,communicationTotalMs,communicationMsPerServedClient,centralWaitingAvgMean,centralWaitingAvgStd,centralTravelAvgMean,centralDistanceAvgMean,centralCalculationAvgMean,centralCalculationSumMean,centralServedClients,centralServedRatio,centralKmPerServedClient,centralCalculationMsPerServedClient,waitingDeltaPct,travelDeltaPct,distanceDeltaPct,kmPerServedClientDeltaPct,calculationMsPerServedClientDeltaPct,pickupGapPoints,currentPass0,extendedPass0,currentPass5,extendedPass5,currentPass10,extendedPass10,currentPass15,extendedPass15,referenceWorstDeltaPct
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,2.7448716666666666,0.07968583956875762,638.0,1751.2283333333332,10.481959999999999,0.14256343080351647,638.0,6687.49,103.32658839999999,4.355624032328656,39.0,4029.7369472,0.0056,0.0005163977794943223,87137.2,490.7,0.198,0.16570723849273722,87137.2,17234.0,0.013999999999999999,0.000816496580927726,87137.2,1204.0,638.0,1.0,4029.7369475999994,6.316202112225705,0.7691222570532915,17.234,0.027012539184952982,1.7100933333333335,0.1284010608202015,9.456726666666667,76.5447456,0.0029000000000000002,250.6,638.0,1.0,4.679067521003135,0.39278996865203764,60.510050133715886,10.841312956068649,34.98847973178187,34.98847973178187,95.81005586592177,0.0,False,False,False,False,False,False,False,False,60.510050133715886
TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,2.868785,0.05642014812278968,637.8,1829.7116666666666,10.563931666666667,0.19272520183629155,638.0,6739.788333333333,103.2695798,2.8744087988508267,39.0,4027.5136126999996,0.0066,0.0006992058987801012,86848.7,572.6,0.1426,0.016439789130845518,86848.7,12400.8,0.014799999999999999,0.0010327955589886442,86848.7,1290.7,637.8,0.9996865203761754,4027.5136122,6.314696789275636,0.8977735967387896,12.400799999999998,0.019443085606773283,1.9210166666666666,0.11489445935345828,9.639435,78.07996010000001,0.0026000000000000003,228.7,638.0,1.0,4.772912921473354,0.3584639498432602,49.33680950191306,9.59077649952167,32.26131220832935,32.30278643605229,150.45017696517172,0.0313479623824553,False,False,False,False,False,False,False,False,49.33680950191306
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,2.7304966666666663,0.05273525643822104,637.8,1741.5033333333333,9.299656666666667,0.12268796971822578,638.0,5933.181666666666,94.90851690000001,2.4171112769083316,39.0,3701.4321523,0.0058000000000000005,0.0007888106377466154,87011.4,511.3,0.1827,0.021756480516031188,87011.4,15903.4,0.014100000000000001,0.0008755950357709132,87011.4,1226.8,637.8,0.9996865203761754,3701.4321591000003,5.803437063499531,0.801661962997805,15.9034,0.02493477579178426,3.289476666666667,0.1131523397356605,9.8634,79.8336429,0.0028,230.7,638.0,1.0,4.88011296724138,0.36159874608150466,-16.99297659303457,-5.715507161154698,18.882858720205054,18.920137760255272,121.69932049960974,0.0313479623824553,False,False,False,False,False,False,False,False,18.882858720205054
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,2.8126633333333335,0.03861078880760763,638.0,1794.48,10.267326666666666,0.1645252127475591,638.0,6550.555,106.8762919,4.2243216482848815,39.0,4168.1753871,0.007300000000000001,0.001888562063228706,87009.2,618.8,0.1733,0.04889228523556201,87009.2,15081.0,0.0178,0.003011090610836323,87009.2,1551.5,638.0,1.0,4168.1753841,6.533190257210031,0.9699059561128526,15.081,0.023637931034482758,3.6515883333333337,0.141475308461657,11.113866666666667,90.0121192,0.0029000000000000002,236.5,638.0,1.0,5.502308226959248,0.3706896551724138,-22.974249105298018,-7.616970991194194,18.735446793035848,18.735446793035827,161.6490486257928,0.0,False,False,False,False,False,False,False,False,18.735446793035848
TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,2.77711,0.034405330121083544,27761.7,77097.29000000001,34.171123333333334,0.11858449094981546,27762.0,948658.6933333334,478.8045675,6.6930546543583525,1685.0,806785.6959681,3.4329,0.2912728579489989,90625.4,311099.7,435.20230000000004,6.906867131099808,90625.4,39440233.5,5.2968,0.3211980351399706,90625.4,480010.8,27761.7,0.9999891938621137,806785.6962375001,29.061105632490086,11.206075276369964,39440.2335,1.420670690195485,1.31656,0.05099769191097685,32.715035,267.35106940000003,0.6159,55690.4,27762.0,1.0,16.226732653951444,2.005993804480945,110.93683538919609,4.450823095048917,79.0920711761327,79.0940064906615,458.62960550217446,0.0010806137886287814,False,False,False,False,False,False,False,False,110.93683538919609
TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,22.667966666666665,0.4632575079841703,27241.1,617491.53,51.962801666666664,0.48794146813329264,27762.0,1442591.2383333333,350.9739204,1.1977010804992643,1685.0,591391.0558348,8.8617,0.28011348890524107,96433.2,854206.0,3114.9708,233.83038952473416,96433.2,299268571.6,10.880799999999999,0.3419096046878149,96433.2,1048792.6,27241.1,0.9812369425833873,591391.055874,21.709514515713387,31.357250624974764,299268.5716,10.985920965012427,41.76129166666667,0.4000077913014333,71.92939166666666,349.31721000000005,0.6152,55477.5,26319.8,0.9480512931345003,22.363372778288593,2.107823767657809,-45.72014954039377,-27.758597059361566,0.4742710500865277,-2.923790919453806,1387.6599792694528,-3.3185649448887022,False,False,True,True,True,True,True,True,0.4742710500865277
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,3.163325,0.10100557870242798,27756.2,87801.575,29.93231,0.07470710388156185,27762.0,830980.8116666666,471.3916069,4.740519739969301,1685.0,794294.857376,3.5405,0.13711896699986884,90224.8,319428.5,924.7554,26.33950474604008,90224.8,83434777.4,5.2737,0.18711615525003583,90224.8,475829.7,27756.2,0.9997910813341978,794294.8576265,28.616844439314455,11.508365698474575,83434.7774,3.005987037130443,11.979215,0.11729057260854153,38.78894666666666,317.1411648,0.5977,54046.8,27762.0,1.0,19.2487163276421,1.9467905770477631,-73.59321958909662,-22.832887788308064,48.63778633003242,48.66884602699071,491.1455414956134,0.020891866580219354,False,False,False,False,False,False,False,False,48.63778633003242
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,2,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,22.902773333333336,2.412287462859502,27311.4,625349.9433333334,50.48806333333333,2.1213711585949597,27762.0,1401649.615,444.9837079,5.571838606933727,1685.0,749797.5478505001,8.4693,0.20165374614257314,92904.3,786847.5,1502.341,104.06687494213617,92904.3,139597237.1,10.8656,0.22658586795198782,92904.3,1009472.8,27311.4,0.9837691808947483,749797.5478115,27.45364748096033,28.81022210505503,139597.2371,5.111317512101174,14.69835,0.0625885165777825,44.70061333333333,365.10951059999996,0.5511,50467.3,27762.0,1.0,22.160129866760318,1.8178553418341619,55.8186689889228,12.947137787222008,21.876778057284607,23.887574874460316,1484.8467940241258,1.6230819105251704,False,False,False,False,False,False,False,False,55.8186689889228
