taxiCount,clientCount,taxiSeatCount,spawnScenario,worldSeed,effectAtModeratorFrom,effectAtModeratorTo,interaction,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope
39.0,638.0,1.0,SPATIAL_IMBALANCE,4,-90.67313546860103,-0.8305054591698724,89.84263000943116,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,5,-89.81590857267653,-2.42923902672072,87.38666954595581,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,6,-91.33220108095142,-2.265815165801355,89.06638591515006,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,7,-90.56734827698803,-0.8078679544605727,89.75948032252745,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,8,-91.40891901848605,-1.3564768137027894,90.05244220478326,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,9,-90.87083759046868,-1.177029480143088,89.69380811032559,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,0,-93.54081022819919,-26.843995833183666,66.69681439501552,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,1,-94.59289228795711,-32.74523498138875,61.847657306568365,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,2,-93.48189952966479,-11.196655052624592,82.2852444770402,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,3,-93.69384552216279,-33.86531596930366,59.82852955285913,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,4,-93.67904746244005,-16.97669818505714,76.70234927738292,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,5,-93.04672201271235,-16.68562357262867,76.36109844008368,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,6,-93.3763202725724,-32.34934065249865,61.02697962007375,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,7,-93.46507267538645,-26.416817089744736,67.04825558564171,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,8,-92.50340759175636,-23.663648891329757,68.8397587004266,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,9,-92.80414143809891,-15.283028800820874,77.52111263727804,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,0,84.68589168937572,0.03539280981974535,-84.65049887955598,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,1,51.857607688772745,0.5270723848764813,-51.33053530389626,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,2,47.58374974822943,-0.25465591793427667,-47.83840566616371,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,3,85.38337541061209,0.2250170960647946,-85.1583583145473,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,4,52.566699322639025,-0.07614409011167389,-52.6428434127507,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,5,47.980932102942496,0.2059605673149445,-47.77497153562755,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,6,72.88082525167572,-0.35760103913006214,-73.23842629080578,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,7,50.77765584376426,0.10242666224222763,-50.67522918152203,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,8,61.674189361017476,0.21624070955912345,-61.45794865145835,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,BASELINE,9,94.62195901225337,0.143246193576263,-94.47871281867711,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
1685.0,27762.0,1.0,RUSH_HOUR,0,15.866073790041657,43.2830969535974,27.417023163555744,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario
