taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,2.5711764282112255,4.669557308551255,2.0983808803400295,0.12777887115684827,2.006973382418584,2.189788378261475,10,1.8286218496430055e-12,1.1520317652750935e-10
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-4.560123991181405,-18.414311799141778,-13.854187807960372,0.21134801054006466,-14.005377066867103,-13.70299854905364,10,7.198675424938788e-18,5.758940339951031e-16
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,384.28789345758844,192.23704377029634,-192.05084968729207,4.155749510469462,-195.02369379916408,-189.07800557542006,10,1.6719390567575785e-16,1.2539542925681838e-14
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,44.231533511034264,22.660891386307426,-21.570642124726838,0.21429136053306214,-21.7239369293778,-21.417347320075876,10,1.5170061010542855e-19,1.2591150638750569e-17
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-97.68864624566419,-94.60187660188407,3.0867696437801313,0.08153238522819022,3.028444888945444,3.1450943986148188,10,1.0050529594325616e-15,7.3368866038577e-14
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,6.856176656016055,6.856176656016055,0.1161300856566151,6.773102197248578,6.9392511147835325,10,1.8457669677809962e-17,1.421240565191367e-15
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,5.952248877362339,5.952248877362339,0.13112181764616962,5.858449979583408,6.04604777514127,10,1.9635409334523974e-16,1.453020290754774e-14
1685.0,27762.0,1.0,SPATIAL_IMBALANCE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-19.41709084740045,-19.41709084740045,0.4031662905091842,-19.705498637577893,-19.128683057223004,10,1.153140044654212e-16,8.76386433937201e-15
1685.0,27762.0,1.0,SPATIAL_ISLANDS,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,3.3146873762607805,12.083807924385255,8.769120548124475,0.254848064157702,8.586813225451504,8.951427870797446,10,2.3738240041638706e-15,1.6854150429563481e-13
1685.0,27762.0,1.0,SPATIAL_ISLANDS,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,2.8751530869533912,8.822734313089837,5.947581226136444,0.23821977722650867,5.7771690633544575,6.117993388918431,10,4.246629225036657e-14,2.760308996273827e-12
1685.0,27762.0,1.0,SPATIAL_ISLANDS,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-5.125233606043136,-25.009714901462107,-19.884481295418972,0.5302217810621116,-20.263779108207192,-19.505183482630752,10,1.0945206015225916e-15,7.88054833096266e-14
1685.0,27762.0,1.0,SPATIAL_ISLANDS,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,569.6613153764932,267.7516216053883,-301.90969377110497,9.655690983418822,-308.816958998183,-295.00242854402694,10,5.615555793219883e-15,3.762422381457322e-13
1685.0,27762.0,1.0,SPATIAL_ISLANDS,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,53.272323679850146,36.811964195663144,-16.460359484187016,0.4978340847015974,-16.816488534714686,-16.104230433659346,10,3.3979469409727654e-15,2.3106039198614806e-13
1685.0,27762.0,1.0,SPATIAL_ISLANDS,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-74.1179961452877,-92.69349471581782,-18.57549857053009,0.7965939587022323,-19.145347560156324,-18.005649580903857,10,7.845152070178109e-14,5.0208973249139896e-12
1685.0,27762.0,1.0,SPATIAL_ISLANDS,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,15.273872193511448,15.273872193511448,0.23250492931533676,15.10754818664939,15.440196200373505,10,7.060695151800118e-18,5.719163072958096e-16
1685.0,27762.0,1.0,SPATIAL_ISLANDS,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,11.30655212160507,11.30655212160507,0.18730202906159726,11.172564321610228,11.440539921599914,10,1.5112722832649612e-17,1.1787923809466697e-15
1685.0,27762.0,1.0,SPATIAL_ISLANDS,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-27.036758310514603,-27.036758310514603,0.37133741910826357,-27.302397097725585,-26.77111952330362,10,2.798311704878292e-18,2.2946155980001996e-16
1685.0,27762.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_IMBALANCE,distance,relative percent,city-scenario,10,-31.231794461430876,-38.67467888526755,-7.442884423836665,0.6392608156402099,-7.900184063032627,-6.985584784640702,10,3.9860702625237e-11,2.1923386443880348e-09
1685.0,27762.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_IMBALANCE,pickup,percentage points,city-scenario,10,-0.06137486092100408,8.174718239960301,8.236093100881305,0.13578289310649472,8.138959870582498,8.333226331180112,10,1.4472733827946913e-17,1.143345972407806e-15
1685.0,27762.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_IMBALANCE,waiting,relative percent,city-scenario,10,54.22438979527241,-93.60420960044537,-147.82859939571776,4.324090456809481,-150.9218673661147,-144.73533142532082,10,2.516112299470313e-15,1.7612786096292192e-13
1685.0,27762.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_ISLANDS,distance,relative percent,city-scenario,10,-31.231794461430876,-40.777237177725716,-9.545442716294842,0.8055825509210447,-10.121721757439914,-8.969163675149769,10,3.4067772137330404e-11,1.941863011827833e-09
1685.0,27762.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_ISLANDS,pickup,percentage points,city-scenario,10,-0.06137486092100408,5.424616181991372,5.485991042912376,0.16176545350646465,5.370271008596191,5.601711077228561,10,2.704937519076465e-15,1.8664068881627608e-13
1685.0,27762.0,1.0,,roaming_by_scenario,idleRoamingMode,random,past-avg-total,spawnScenario,BASELINE,SPATIAL_ISLANDS,waiting,relative percent,city-scenario,10,54.22438979527241,-60.50440901744173,-114.72879881271415,4.181637878420108,-117.7201623473844,-111.73743527804389,10,1.8189202427667688e-14,1.2004873602260673e-12
,,,,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,equal-weight overall,10,0.9397109045846314,2.3955125344888843,1.455801629904253,0.2622349254434356,1.268210064996954,1.643393194811552,10,2.857694565441022e-08,2.857694565441022e-08
