metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0233,0.001159501808728406,0.021,0.025,88695.8,87028,91554,49.0,2.054804667656327,5.36e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0128,0.0014757295747452434,0.011,0.015,87095.5,86779,87515,33.5,22.24734690798983,7.18e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,random,random,10,0.0091,0.0008755950357709133,0.008,0.011,87057.1,86737,87412,14.1,7.233410137841088,7.59e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,False,none,none,10,0.020300000000000002,0.0012516655570345722,0.018,0.022,88542.7,87028,91554,17.8,1.398411797560202,6.68e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg,past-avg,10,0.0131,0.0009944289260117526,0.012,0.015,87259.1,86844,87792,33.4,17.658488673219527,6.620000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.023100000000000002,0.0013703203194062978,0.02,0.025,88695.8,87028,91554,52.6,2.4129281427805154,5.13e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0126,0.001577621275493231,0.01,0.015,87095.5,86779,87515,28.4,24.50940862426328,6.74e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,random,random,10,0.0091,0.0007378647873726221,0.008,0.01,87057.1,86737,87412,8.2,8.482662055955995,7.72e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,False,none,none,10,0.019700000000000002,0.0008232726023485659,0.018,0.021,88542.7,87028,91554,17.3,4.64399253516483,5.34e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg,past-avg,10,0.0125,0.0011785113019775792,0.011,0.015,87259.1,86844,87792,32.4,17.095808453146248,5.3299999999999995e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.023700000000000002,0.0011595018087284061,0.021,0.025,88695.8,87028,91554,52.6,3.339993346633426,0.00011639999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0125,0.0016499158227686111,0.01,0.015,87095.5,86779,87515,37.8,19.719139039127555,6.610000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,random,random,10,0.0089,0.0005676462121975467,0.008,0.01,87057.1,86737,87412,7.3,7.10320741324337,7.510000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,False,none,none,10,0.0198,0.0011352924243950944,0.018,0.021,88542.7,87028,91554,17.3,1.7029386365926402,5.14e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg,past-avg,10,0.0129,0.0008755950357709136,0.011,0.014,87259.1,86844,87792,28.4,19.631041179157506,6.78e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.023200000000000002,0.001398411797560202,0.021,0.025,88695.8,87028,91554,45.2,16.416793569729478,5.65e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.012199999999999999,0.0014757295747452439,0.01,0.014,87095.5,86779,87515,39.7,14.150382798120104,6.319999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,random,random,10,0.0092,0.0006324555320336763,0.008,0.01,87057.1,86737,87412,10.9,8.292566952799758,7.13e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,False,none,none,10,0.006900000000000001,0.0014491376746189437,0.005,0.01,87147.7,86791,87501,15.6,10.793001847905376,9.43e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg,past-avg,10,0.0053,0.0006749485577105528,0.004,0.006,87237.8,86884,87884,22.2,23.413196658674735,0.00011100000000000001,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.007000000000000001,0.0019436506316151002,0.005,0.011,87158.1,86764,87592,34.8,36.26997533926803,9.219999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0054,0.0005163977794943223,0.005,0.006,87150.9,86818,87501,23.4,28.107729265176232,0.00011429999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,random,random,10,0.0048000000000000004,0.0004216370213557839,0.004,0.005,87149.2,86818,87514,6.3,9.298147963737486,0.0001072,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,False,none,none,10,0.0066,0.0013498971154211055,0.005,0.009,87147.7,86791,87501,7.8,9.863513009515874,8.779999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg,past-avg,10,0.005200000000000001,0.0006324555320336759,0.004,0.006,87237.8,86884,87884,22.3,23.309749986742553,0.00011559999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0075,0.0020682789409984764,0.005,0.012,87158.1,86764,87592,30.1,38.53267012116688,0.0001079,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.005,0.0006666666666666668,0.004,0.006,87150.9,86818,87501,11.1,22.118117259638332,0.0001727,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,random,random,10,0.0047,0.0004830458915396479,0.004,0.005,87149.2,86818,87514,4.4,8.51404069105198,0.00011130000000000001,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,False,none,none,10,0.006500000000000001,0.0015092308563562358,0.005,0.009,87147.7,86791,87501,7.7,9.730250653389035,9.219999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg,past-avg,10,0.0053,0.000674948557710553,0.004,0.006,87237.8,86884,87884,13.4,21.588062544944705,0.0001193,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0071,0.001728840330651992,0.005,0.011,87158.1,86764,87592,14.5,29.022022289595498,0.0001024,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.005200000000000001,0.0006324555320336759,0.004,0.006,87150.9,86818,87501,17.6,27.66546182115487,0.0001147,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,True,random,random,10,0.0049,0.0005676462121975469,0.004,0.006,87149.2,86818,87514,4.0,8.178562764256865,0.0001199,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,False,none,none,10,0.0068000000000000005,0.0013165611772087663,0.005,0.009,87147.7,86791,87501,14.8,10.228500487472356,9.49e-05,10,
