factor,fromValue,toValue,basis,taxiCount,clientCount,taxiSeatCount,spawnScenario,waitingAvgMeanFrom,travelAvgMeanFrom,distanceAvgMeanFrom,servedRatioFrom,calculationAvgMeanFrom,communicationAvgMeanFrom,kmPerServedClientFrom,calculationMsPerServedClientFrom,pickupPctFrom,communicationSharePctFrom,normalizedWaitingIndexFrom,waitingAvgMeanTo,travelAvgMeanTo,distanceAvgMeanTo,servedRatioTo,calculationAvgMeanTo,communicationAvgMeanTo,kmPerServedClientTo,calculationMsPerServedClientTo,pickupPctTo,communicationSharePctTo,normalizedWaitingIndexTo,waitingMinFrom,waitingMinTo,waitingMinDeltaPct,travelMinFrom,travelMinTo,travelMinDeltaPct,distanceKmFrom,distanceKmTo,distanceKmDeltaPct,calculationMsFrom,calculationMsTo,calculationMsDeltaPct,communicationMicrosFrom,communicationMicrosTo,communicationMicrosDeltaPct,kmPerServedClientDeltaPct,calculationMsPerServedClientDeltaPct,communicationSharePctDeltaPct,pickupDeltaPoints,communicationShareDeltaPoints
p2pRqsRadius,1000,2000,scenario means,39.0,638.0,1.0,BASELINE,3.862978111111111,11.584416000000001,130.75250778666665,0.9827011494252873,0.0164575,0.08102333333333332,8.072962014559925,2.32544802541397,98.27011494252874,0.492318598410046,1.094784469600614,2.836343805555556,10.56786825,95.70547228333334,0.999328631138976,0.006144166666666667,0.13201416666666665,5.85382162174496,0.8380552514108117,99.9328631138976,2.1486097924860976,0.8038319295257357,3.862978111111111,2.836343805555556,-26.5762392647952,11.584416000000001,10.56786825,-8.775131607842823,130.75250778666665,95.70547228333334,-26.804101960717574,0.0164575,0.006144166666666667,-62.66646412476581,0.08102333333333332,0.13201416666666665,62.933517093841296,-27.488552390221233,-63.96155741809696,336.42669592923795,1.662748171368861,1.6562911940760516
p2pRqsRadius,1000,2000,scenario means,39.0,638.0,1.0,RUSH_HOUR,4.550934319444445,12.20445511111111,119.57236351833333,0.9797387669801463,0.0154925,0.08686083333333333,7.407238158947798,2.175983436348183,97.97387669801464,0.5606637620353935,1.1990542538615006,2.922571,10.611792694444445,96.33526585166666,0.9994827586206897,0.006358333333333333,0.13316666666666668,5.8916141562146525,0.8661389404544446,99.94827586206897,2.0943643512450856,0.7700223610764062,4.550934319444445,2.922571,-35.78085740519382,12.20445511111111,10.611792694444445,-13.049844521257514,119.57236351833333,96.33526585166666,-19.43350200910251,0.0154925,0.006358333333333333,-58.958635899090964,0.08686083333333333,0.13316666666666668,53.31037195513899,-20.46139154986263,-60.19551776055651,273.55086828545075,1.9743991640543328,1.5337005892096922
p2pRqsRadius,1000,2000,scenario means,39.0,638.0,1.0,SPATIAL_IMBALANCE,9.997187361111111,16.588950055555554,118.07984167666667,0.8795323928944618,0.018336666666666668,0.08868416666666666,7.600457815114695,3.2426628577535013,87.95323928944619,0.4836438829303763,1.5425836964870714,5.256771805555556,11.63225825,89.80924388833334,0.9842842215256008,0.012864166666666668,0.1335025,5.560688157501744,1.8178345378388314,98.42842215256007,1.0377858392174646,0.8111291896905742,9.997187361111111,5.256771805555556,-47.41749238386479,16.588950055555554,11.63225825,-29.879478743114205,118.07984167666667,89.80924388833334,-23.94193402269761,0.018336666666666668,0.012864166666666668,-29.844573713870204,0.08868416666666666,0.1335025,50.53701806974189,-26.837457785194875,-43.940069702521676,114.57644267711346,10.475182863113886,0.5541419562870883
p2pRqsRadius,1000,2000,scenario means,39.0,638.0,1.0,SPATIAL_ISLANDS,12.467769,20.83044923611111,128.80743527583334,0.8363113897596656,0.018000000000000002,0.079705,8.4106834236277,3.6301650644178585,83.63113897596655,0.4428055555555555,1.5868222004687604,6.826671069444444,14.13963625,97.89044358,0.9661846917450365,0.013212499999999999,0.12421583333333334,6.145853360092778,1.9483076761769194,96.61846917450364,0.9401387574897512,0.8688573880613492,12.467769,6.826671069444444,-45.245447927015306,20.83044923611111,14.13963625,-32.12034896737654,128.80743527583334,97.89044358,-24.002489941381466,0.018000000000000002,0.013212499999999999,-26.59722222222224,0.079705,0.12421583333333334,55.844468142943796,-26.92801463876826,-46.33005272201432,112.31412878508907,12.987330198537094,0.49733320193419567
p2pRqsRadius,1000,2000,scenario means,1685.0,27762.0,1.0,BASELINE,4.496504958333333,35.485453750000005,395.788415985,0.9986821914847633,5.296764166666667,337.137505,24.05008832049614,17.947262988548832,99.86821914847633,6.364971034988813,1.1564910581282934,3.009499111111111,34.37234145833334,410.34255519916667,0.9999463295151646,3.6842975,386.45430666666664,24.906682452272435,12.046608194742792,99.99463295151646,10.48922641742874,0.7740364669218797,4.496504958333333,3.009499111111111,-33.07025925694506,35.485453750000005,34.37234145833334,-3.1368129022914526,395.788415985,410.34255519916667,3.6772524476103685,5.296764166666667,3.6842975,-30.442485561546462,337.137505,386.45430666666664,14.628097122171768,3.5617088817353038,-32.87774184604597,64.79613748072894,0.12641380304013694,4.1242553824399275
p2pRqsRadius,1000,2000,scenario means,1685.0,27762.0,1.0,RUSH_HOUR,20.153268375,50.00417993055556,325.517125925,0.978932323559782,5.958235,635.5628833333334,20.140641424536984,22.38498096315249,97.8932323559782,10.666965692580662,1.1298688744312788,16.416307416666665,46.26575101388889,327.9969715341667,0.9888867576783613,6.1569183333333335,1902.9742816666667,20.12826087171318,20.903144293625015,98.88867576783613,30.907901950948947,0.9203606302487409,20.153268375,16.416307416666665,-18.542704283981102,50.00417993055556,46.26575101388889,-7.476232830652352,325.517125925,327.9969715341667,0.7618172475932994,5.958235,6.1569183333333335,3.3346004871129376,635.5628833333334,1902.9742816666667,199.41557815430428,-0.061470499190363626,-6.619780789479779,189.75345793459084,0.9954434118579343,20.240936258368286
p2pRqsRadius,1000,2000,scenario means,1685.0,27762.0,1.0,SPATIAL_IMBALANCE,55.08197827777778,81.678815,345.58258456916667,0.8046374840909637,6.667495833333334,322.5623758333333,23.76649964991806,33.60897409027316,80.46374840909637,4.8378339319047186,1.125507043321825,48.742221666666666,73.19244287500001,364.3050042258334,0.8666127560454339,6.0543825,1009.6634725,24.211346376734543,27.31447344419142,86.66127560454339,16.676572259846484,0.9959648420093065,55.08197827777778,48.742221666666666,-11.509674868865083,81.678815,73.19244287500001,-10.38993051625442,345.58258456916667,364.3050042258334,5.417639803813534,6.667495833333334,6.0543825,-9.19555630268486,322.5623758333333,1009.6634725,213.01340396304903,1.8717385116407526,-18.72863071980362,244.7115484859295,6.197527195447023,11.838738327941766
p2pRqsRadius,1000,2000,scenario means,1685.0,27762.0,1.0,SPATIAL_ISLANDS,93.49267969444445,120.676719,318.01660764083334,0.7341638450639963,7.81247,339.3564925,22.774801470992436,47.458328444589064,73.41638450639964,4.343779784114371,1.1932127038912355,77.53854195833334,105.49126733333333,342.58459912333336,0.8014317832528877,8.314045833333333,1300.0874391666666,23.453482641000967,42.30291199487507,80.14317832528877,15.637241665835575,0.9895959085595092,93.49267969444445,77.53854195833334,-17.06458493675964,120.676719,105.49126733333333,-12.583580157384521,318.01660764083334,342.58459912333336,7.725380024884432,7.81247,8.314045833333333,6.420195320216693,339.3564925,1300.0874391666666,283.1037472096299,2.9799652518286424,-10.863038414286564,259.9915843575335,6.726793818889135,11.293461881721203
p2pRqsRadius,1000,2000,equal-weight normalized index,,,,ALL_NORMALIZED,,,,,,,,,,,,,,,,,,,,,,,1.2535405375238224,0.8667248395116877,-30.85785313143762,,,,,,,,,,,,,,,,,
p2pRqsRadius,2000,3000,scenario means,39.0,638.0,1.0,BASELINE,2.836343805555556,10.56786825,95.70547228333334,0.999328631138976,0.006144166666666667,0.13201416666666665,5.85382162174496,0.8380552514108117,99.9328631138976,2.1486097924860976,0.8038319295257357,3.8862633333333334,11.631842777777779,99.05926411333333,0.9999895506792059,0.004953333333333334,0.19195083333333332,6.055407555569583,0.6760212118427382,99.99895506792059,3.8751850605652756,1.1013836008736502,2.836343805555556,3.8862633333333334,37.01665241432639,10.56786825,11.631842777777779,10.06801468950731,95.70547228333334,99.05926411333333,3.5042842901095383,0.006144166666666667,0.004953333333333334,-19.381527193815263,0.13201416666666665,0.19195083333333332,45.401693000119934,3.4436637610514076,-19.33452947109391,80.35778642158216,0.06609195402299406,1.726575268079178
p2pRqsRadius,2000,3000,scenario means,39.0,638.0,1.0,RUSH_HOUR,2.922571,10.611792694444445,96.33526585166666,0.9994827586206897,0.006358333333333333,0.13316666666666668,5.8916141562146525,0.8661389404544446,99.94827586206897,2.0943643512450856,0.7700223610764062,3.912804277777778,11.628306222222223,98.70520725666667,0.9999320794148381,0.005150833333333333,0.2050975,6.034108993064565,0.7027999511986294,99.9932079414838,3.9818314188642616,1.0309233850620934,2.922571,3.912804277777778,33.88226591510619,10.611792694444445,11.628306222222223,9.579093344991097,96.33526585166666,98.70520725666667,2.4600974358125027,0.006358333333333333,0.005150833333333333,-18.9908256880734,0.13316666666666668,0.2050975,54.015644555694585,2.4186043598867446,-18.858289545337236,90.12123733375662,0.0449320794148349,1.887467067619176
p2pRqsRadius,2000,3000,scenario means,39.0,638.0,1.0,SPATIAL_IMBALANCE,5.256771805555556,11.63225825,89.80924388833334,0.9842842215256008,0.012864166666666668,0.1335025,5.560688157501744,1.8178345378388314,98.42842215256007,1.0377858392174646,0.8111291896905742,4.188462111111111,10.762157,91.96211871666667,1.0,0.005311666666666667,0.22951166666666667,5.6215088243730404,0.7251136363636363,100.0,4.32089739566991,0.6462871138223545,5.256771805555556,4.188462111111111,-20.32254269274948,11.63225825,10.762157,-7.480071636133079,89.80924388833334,91.96211871666667,2.3971639612178075,0.012864166666666668,0.005311666666666667,-58.70959383299864,0.1335025,0.22951166666666667,71.91563204184692,1.0937615120395705,-60.11113105895204,316.3573284954489,1.5715778474399258,3.283111556452445
p2pRqsRadius,2000,3000,scenario means,39.0,638.0,1.0,SPATIAL_ISLANDS,6.826671069444444,14.13963625,97.89044358,0.9661846917450365,0.013212499999999999,0.12421583333333334,6.145853360092778,1.9483076761769194,96.61846917450364,0.9401387574897512,0.8688573880613492,4.276762166666667,11.697948361111111,98.59505327333333,0.9985841170323929,0.007188333333333334,0.17921916666666665,6.034973699679015,0.9838733434364769,99.8584117032393,2.4931949918849985,0.5443204114698904,6.826671069444444,4.276762166666667,-37.35215710320271,14.13963625,11.697948361111111,-17.26839252239526,97.89044358,98.59505327333333,0.7197941571870592,0.013212499999999999,0.007188333333333334,-45.59444970040995,0.12421583333333334,0.17921916666666665,44.28045270664634,-1.804137748123702,-49.50113088056557,165.1943632812285,3.2399425287356536,1.5530562343952474
p2pRqsRadius,2000,3000,scenario means,1685.0,27762.0,1.0,BASELINE,3.009499111111111,34.37234145833334,410.34255519916667,0.9999463295151646,3.6842975,386.45430666666664,24.906682452272435,12.046608194742792,99.99463295151646,10.48922641742874,0.7740364669218797,4.158171611111111,35.55351238888889,416.65682566833334,0.9999973584996279,2.8825008333333333,511.40326166666665,25.28882379898933,9.416676798303032,99.99973584996279,17.74165182374911,1.0694724749498272,3.009499111111111,4.158171611111111,38.168228585251484,34.37234145833334,35.55351238888889,3.4363993852073893,410.34255519916667,416.65682566833334,1.538780316387589,3.6842975,2.8825008333333333,-21.76253862959402,386.45430666666664,511.40326166666665,32.33214194913185,1.5342924431994254,-21.83130183969524,69.14166133614819,0.005102898446324389,7.252425406320368
p2pRqsRadius,2000,3000,scenario means,1685.0,27762.0,1.0,RUSH_HOUR,16.416307416666665,46.26575101388889,327.9969715341667,0.9888867576783613,6.1569183333333335,1902.9742816666667,20.12826087171318,20.903144293625015,98.88867576783613,30.907901950948947,0.9203606302487409,16.940885902777776,46.852619680555556,336.14126075166666,0.9898282124246571,7.967884166666667,4509.5817625,20.611040136896598,26.499387831711477,98.98282124246572,56.596979426052144,0.9497704953199803,16.416307416666665,16.940885902777776,3.195471873160294,46.26575101388889,46.852619680555556,1.2684732308581692,327.9969715341667,336.14126075166666,2.4830379315412765,6.1569183333333335,7.967884166666667,29.413510709226554,1902.9742816666667,4509.5817625,136.9754444894762,2.3985145475825975,26.77225712781015,83.11491836576919,0.09414547462958467,25.689077475103197
