taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,seeds,deltaPctMean,deltaPctStd,metric,deltaPctCi95Half
39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,past-avg-total,10,45.00524149392193,20.904039875035625,waiting,14.95384928766237
39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,random,10,16.286495901178125,7.960527835640869,waiting,5.694618562538109
39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,past-avg-total,10,61.79943094082167,9.614029126961874,waiting,6.8774621303452275
39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,random,10,58.26346502498747,8.882091023692283,waiting,6.3538651534153185
39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,none,10,75.64825356018535,9.7123210353485,waiting,6.9477759258123735
39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,past-avg,10,61.98190760308705,11.492833456677607,waiting,8.22147778260817
39,638,1,BASELINE,0,15,2000,greedy,1,4,0,1,2000,past-avg-revisit,10,73.39635226714093,7.743565977253114,waiting,5.539413398804364
