rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceDeltaPct
19,1,15,2000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,11.326183855171937,112.24542241396769,32.505199953281775,78.76897521772167,-4.407820140586038,11.000670422253233,1.14653122973849,112.24542241396769
20,1,15,2000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,11.237605947159114,112.24542241396769,32.50019741272182,78.76897521772167,-4.434968257210291,11.000670422253233,1.129961818312808,112.24542241396769
21,2,15,2000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,6.487079420134922,113.08030017621684,32.98963203654095,78.74180409019903,-5.889584388899505,10.960416888437074,0.5763273539370339,113.08030017621684
22,2,15,2000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,6.547611774222266,113.08030017621684,32.99561593418176,78.74180409019903,-5.871974788074145,10.960416888437074,0.5817304228802,113.08030017621684
23,2,15,2000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,6.407725885252297,113.1232150452695,32.99201683833158,78.76172953883082,-5.918176966274812,10.960416888437074,0.5601181471075578,113.1232150452695
24,2,15,2000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,6.508988701050491,113.1232150452695,32.98009939469238,78.76172953883082,-5.892478225919443,10.960416888437074,0.5748865355521882,113.1232150452695
25,2,15,2000,greedy,0,4,1,1,2000,past-avg,8,1,1,39.76163605985697,190.40453910190195,13.961764552537192,35.71898747751931,1.1979153195458503,44.17993817236214,2.8593040847201157,190.40453910190195
26,2,15,2000,nearest,0,4,1,1,2000,past-avg,8,1,1,39.61241218833227,190.40605821231088,13.959327517328708,35.71891031306269,1.1575469254382202,43.8643272903638,2.833729558389164,190.40605821231088
27,2,15,2000,greedy,1,4,1,1,2000,past-avg,8,1,1,39.76092258710912,190.81317980190798,13.947718550334528,35.571405273757975,1.186603837005161,44.0956999546017,2.8387724227361133,190.81317980190798
28,2,15,2000,nearest,1,4,1,1,2000,past-avg,8,1,1,39.77551761802788,190.813179801908,13.930718353859204,35.571405273757975,1.1839208204778977,44.13117672360052,2.84597651466032,190.813179801908
29,1,15,3000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,41.10556715765995,214.1258279151729,32.270396016070706,77.80066175415116,0.09776993957421976,23.112877676489884,0.23917585188387713,214.1258279151729
30,1,15,3000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,41.07139201985544,214.1258279151729,32.27229480494776,77.80066175415116,0.08669087558693511,23.112877676489884,0.23701462430660847,214.1258279151729
31,1,15,3000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,41.066490177459386,214.1258279151729,32.27078001933887,77.80066175415116,0.07817510790698967,23.112877676489884,0.24421871623081515,214.1258279151729
32,1,15,3000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,41.048682852746985,214.1258279151729,32.270874601938246,77.80066175415116,0.07244589535736878,23.112877676489884,0.2416972840573406,214.1258279151729
33,2,15,3000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,41.06030006044452,214.21735431731182,31.974402882777703,75.94772785300104,0.06807585788015658,23.18073061221324,0.23161155536344236,214.21735431731182
34,2,15,3000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,41.05969401615953,214.21735431731182,31.974101466695505,75.94772785300104,0.06865999024945046,23.18073061221324,0.23161155536344236,214.21735431731182
35,2,15,3000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,40.83815664133114,214.21735431731182,31.989202765873955,75.94772785300104,-0.008029017061224497,23.18073061221324,0.22476766803545267,214.21735431731182
36,2,15,3000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,40.84386018857535,214.21735431731182,31.991834389005266,75.94772785300104,-0.006870183867513369,23.18073061221324,0.22476766803545267,214.21735431731182
37,0,15,3000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
38,0,15,3000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
39,0,15,3000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
40,0,15,3000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
41,0,15,3000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
42,0,15,3000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
43,0,15,3000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
44,0,15,3000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,41.16278545820894,214.25102793137674,32.40802518397274,78.61049618079441,0.12270619191573595,22.875973998050057,0.28095958504430474,214.25102793137674
45,1,15,3000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,39.68428492442727,216.36892102651356,32.301619783280714,76.79656324576494,-0.4603339826230797,23.199570816963444,0.10049708234277643,216.36892102651356
46,1,15,3000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,39.69987901025834,216.36892102651356,32.301449429521156,76.79656324576494,-0.4538026933158683,23.199570816963444,0.10049708234277643,216.36892102651356
47,1,15,3000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,39.67946390604827,216.36892102651356,32.2968754667438,76.79656324576494,-0.4627738742855043,23.199570816963444,0.0904113536488671,216.36892102651356
48,1,15,3000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,39.67174693129793,216.36892102651356,32.3010803340047,76.79656324576494,-0.4665197352438266,23.199570816963444,0.0904113536488671,216.36892102651356
49,2,15,3000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,38.68375434001355,217.40166291952767,32.25332621881227,75.23566599206575,-0.8105333678761468,23.302830648236995,0.026294935523374363,217.40166291952767
50,2,15,3000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,38.678738231595766,217.40166291952767,32.24948887924918,75.23566599206575,-0.8133793301259309,23.302830648236995,0.026294935523374363,217.40166291952767
51,2,15,3000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,38.65381665888742,217.40166291952767,32.22482555251766,75.23566599206575,-0.8354589901445286,23.302830648236995,0.027375549312003145,217.40166291952767
52,2,15,3000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,38.64135745374231,217.40166291952767,32.224465059972786,75.23566599206575,-0.8418564676708122,23.302830648236995,0.027375549312003145,217.40166291952767
53,2,15,3000,greedy,0,4,1,1,2000,random,8,0,0,95.71367122615003,218.2202812677347,63.34747153009875,147.36093735632534,15.031486922247264,58.17825765484395,3.9327137814278434,218.2202812677347
54,2,15,3000,greedy,1,4,1,1,2000,random,8,0,0,95.71367122615003,218.2202812677347,63.34747153009875,147.36093735632534,15.031486922247264,58.17825765484395,3.9327137814278434,218.2202812677347
