taxiCount,clientCount,taxiSeatCount,spawnScenario,level,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct,normalizedWaitingIndex,factor
39,638,1,BASELINE,1000,3.862978111111111,11.584416000000001,130.75250778666665,0.9827011494252873,0.0164575,0.08102333333333332,8.072868159224905,2.3258863081260492,98.27011494252874,0.492318598410046,1.094784469600614,p2pRqsRadius
39,638,1,BASELINE,2000,2.836343805555556,10.56786825,95.70547228333334,0.999328631138976,0.006144166666666667,0.13201416666666665,5.8538303438690615,0.8381733485394182,99.9328631138976,2.1486097924860976,0.8038319295257357,p2pRqsRadius
39,638,1,BASELINE,3000,3.8862633333333334,11.631842777777779,99.05926411333333,0.9999895506792059,0.004953333333333334,0.19195083333333332,6.055408738751839,0.676022341779731,99.99895506792059,3.8751850605652756,1.1013836008736502,p2pRqsRadius
39,638,1,RUSH_HOUR,1000,4.550934319444445,12.20445511111111,119.57236351833333,0.9797387669801463,0.0154925,0.08686083333333333,7.407025356114001,2.176971204777027,97.97387669801464,0.5606637620353935,1.1990542538615006,p2pRqsRadius
39,638,1,RUSH_HOUR,2000,2.922571,10.611792694444445,96.33526585166666,0.9994827586206897,0.006358333333333333,0.13316666666666668,5.891614835054764,0.8661737491031437,99.94827586206897,2.0943643512450856,0.7700223610764062,p2pRqsRadius
39,638,1,RUSH_HOUR,3000,3.912804277777778,11.628306222222223,98.70520725666667,0.9999320794148381,0.005150833333333333,0.2050975,6.034108961988996,0.7028041191156955,99.9932079414838,3.9818314188642616,1.0309233850620934,p2pRqsRadius
39,638,1,SPATIAL_IMBALANCE,1000,9.997187361111111,16.588950055555554,118.07984167666667,0.8795323928944618,0.018336666666666668,0.08868416666666666,7.600365483590971,3.244815872252578,87.95323928944619,0.4836438829303763,1.5425836964870714,p2pRqsRadius
39,638,1,SPATIAL_IMBALANCE,2000,5.256771805555556,11.63225825,89.80924388833334,0.9842842215256008,0.012864166666666668,0.1335025,5.560734735355603,1.8183385276375452,98.42842215256007,1.0377858392174646,0.8111291896905742,p2pRqsRadius
39,638,1,SPATIAL_IMBALANCE,3000,4.188462111111111,10.762157,91.96211871666667,1.0,0.005311666666666667,0.22951166666666667,5.6215088243730404,0.7251136363636363,100.0,4.32089739566991,0.6462871138223545,p2pRqsRadius
39,638,1,SPATIAL_ISLANDS,1000,12.467769,20.83044923611111,128.80743527583334,0.8363113897596656,0.018000000000000002,0.079705,8.40871852478334,3.6423206994127595,83.63113897596655,0.4428055555555555,1.5868222004687604,p2pRqsRadius
39,638,1,SPATIAL_ISLANDS,2000,6.826671069444444,14.13963625,97.89044358,0.9661846917450365,0.013212499999999999,0.12421583333333334,6.145145419711059,1.9497413820507867,96.61846917450364,0.9401387574897512,0.8688573880613492,p2pRqsRadius
