series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runIndex,worldSeed,tickBlock,servedRequestsSum,finishedRequestsSum,waitingTimeSum,waitingTimeCount,rows,activeClientsMean,servedRequestsMean,finishedRequestsMean,calcTimeMillisMean,waitingTimeAvg
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,32,14,12,26.833333333333332,14,1,7.0,14.0,12.0,0.002918,1.9166666666666665
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,33,13,11,34.13333333333333,13,1,7.0,13.0,11.0,0.003539,2.6256410256410256
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,34,5,8,11.433333333333334,5,1,4.0,5.0,8.0,0.002894,2.2866666666666666
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,35,7,6,11.35,7,1,4.0,7.0,6.0,0.004607,1.6214285714285714
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,36,4,5,5.333333333333333,4,1,3.0,4.0,5.0,0.00278,1.3333333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,37,7,6,17.416666666666668,7,1,4.0,7.0,6.0,0.00271,2.488095238095238
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,38,5,5,8.616666666666667,5,1,3.0,5.0,5.0,0.002606,1.7233333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,39,4,5,8.0,4,1,3.0,4.0,5.0,0.002577,2.0
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,40,7,6,8.3,7,1,4.0,7.0,6.0,0.003135,1.1857142857142857
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,41,6,6,6.416666666666667,6,1,3.0,6.0,6.0,0.004353,1.0694444444444444
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,42,9,10,16.916666666666668,9,1,5.0,9.0,10.0,0.003115,1.8796296296296298
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,43,11,7,23.266666666666666,11,1,7.0,11.0,7.0,0.002766,2.1151515151515152
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,44,4,9,6.133333333333334,4,1,4.0,4.0,9.0,0.002534,1.5333333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,45,10,8,21.783333333333335,10,1,5.0,10.0,8.0,0.002862,2.1783333333333337
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,46,7,8,17.133333333333333,7,1,4.0,7.0,8.0,0.00265,2.4476190476190474
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,47,7,5,19.983333333333334,7,1,4.0,7.0,5.0,0.0028,2.854761904761905
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,48,4,6,6.1,4,1,3.0,4.0,6.0,0.002694,1.525
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,49,9,10,35.95,9,1,5.0,9.0,10.0,0.003087,3.994444444444445
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,50,9,5,17.416666666666668,9,1,5.0,9.0,5.0,0.006271,1.9351851851851853
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,51,7,10,14.483333333333333,7,1,5.0,7.0,10.0,0.008463,2.069047619047619
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,52,6,5,14.633333333333333,6,1,3.0,6.0,5.0,0.002765,2.4388888888888887
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,53,7,8,13.666666666666666,7,1,4.0,7.0,8.0,0.002579,1.9523809523809523
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,54,6,6,9.233333333333333,6,1,3.0,6.0,6.0,0.002561,1.5388888888888888
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,55,6,4,15.1,6,1,3.0,6.0,4.0,0.002546,2.5166666666666666
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,56,4,6,9.783333333333333,4,1,4.0,4.0,6.0,0.056683,2.4458333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,57,6,7,11.433333333333334,6,1,4.0,6.0,7.0,0.004277,1.9055555555555557
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,58,11,10,23.9,11,1,5.0,11.0,10.0,0.004268,2.1727272727272724
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,59,6,7,10.633333333333333,6,1,3.0,6.0,7.0,0.004131,1.7722222222222221
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,60,3,4,11.483333333333333,3,1,2.0,3.0,4.0,0.002851,3.8277777777777775
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,61,8,5,11.566666666666666,8,1,4.0,8.0,5.0,0.002909,1.4458333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,62,3,6,3.6166666666666667,3,1,3.0,3.0,6.0,0.002772,1.2055555555555555
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,63,7,4,10.45,7,1,4.0,7.0,4.0,0.002789,1.4928571428571427
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,64,10,11,24.733333333333334,10,1,6.0,10.0,11.0,0.002762,2.4733333333333336
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,65,7,7,14.533333333333333,7,1,3.0,7.0,7.0,0.002722,2.0761904761904764
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,66,10,8,10.533333333333333,10,1,5.0,10.0,8.0,0.003081,1.0533333333333332
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,67,5,9,7.6,5,1,3.0,5.0,9.0,0.0035,1.52
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,68,8,4,11.166666666666666,8,1,3.0,8.0,4.0,0.003408,1.3958333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,69,3,7,4.3,3,1,3.0,3.0,7.0,0.002629,1.4333333333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,70,6,3,7.916666666666667,6,1,3.0,6.0,3.0,0.00266,1.3194444444444444
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,71,7,8,12.933333333333334,7,1,3.0,7.0,8.0,0.002698,1.8476190476190477
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,72,8,7,18.533333333333335,8,1,5.0,8.0,7.0,0.002763,2.316666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,73,7,9,9.7,7,1,4.0,7.0,9.0,0.002701,1.3857142857142857
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,74,7,6,5.883333333333334,7,1,3.0,7.0,6.0,0.002813,0.8404761904761905
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,75,9,8,19.05,9,1,5.0,9.0,8.0,0.00267,2.1166666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,76,7,9,11.166666666666666,7,1,5.0,7.0,9.0,0.002755,1.5952380952380951
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,77,12,8,18.75,12,1,5.0,12.0,8.0,0.002759,1.5625
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,78,8,11,11.7,8,1,5.0,8.0,11.0,0.002754,1.4625
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,79,11,9,36.916666666666664,11,1,6.0,11.0,9.0,0.00268,3.356060606060606
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,80,8,8,19.8,8,1,6.0,8.0,8.0,0.002733,2.475
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,81,7,8,11.133333333333333,7,1,5.0,7.0,8.0,0.002696,1.5904761904761904
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,82,10,9,18.05,10,1,5.0,10.0,9.0,0.003159,1.8050000000000002
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,83,8,8,10.266666666666667,8,1,4.0,8.0,8.0,0.003453,1.2833333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,84,7,10,9.15,7,1,5.0,7.0,10.0,0.003015,1.3071428571428572
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,85,9,4,16.683333333333334,9,1,5.0,9.0,4.0,0.002925,1.8537037037037036
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,1,0,86,5,12,8.583333333333334,5,1,4.0,5.0,12.0,0.002925,1.7166666666666668
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,0,7,4,16.216666666666665,7,1,3.0,7.0,4.0,0.002426,2.3166666666666664
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,1,10,9,10.266666666666667,10,1,4.0,10.0,9.0,0.002081,1.0266666666666668
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,2,5,7,6.0,5,1,4.0,5.0,7.0,0.002004,1.2
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,3,5,5,6.933333333333334,5,1,4.0,5.0,5.0,0.002003,1.3866666666666667
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,4,10,6,16.25,10,1,5.0,10.0,6.0,0.002084,1.625
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,5,7,10,12.483333333333333,7,1,4.0,7.0,10.0,0.002133,1.7833333333333332
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,6,2,4,2.45,2,1,2.0,2.0,4.0,0.003099,1.225
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,7,14,9,28.05,14,1,6.0,14.0,9.0,0.004165,2.0035714285714286
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,8,6,7,7.016666666666667,6,1,4.0,6.0,7.0,0.003274,1.1694444444444445
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,9,9,14,18.75,9,1,7.0,9.0,14.0,0.00339,2.0833333333333335
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,10,11,4,16.283333333333335,11,1,4.0,11.0,4.0,0.003549,1.4803030303030305
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,11,5,10,6.183333333333334,5,1,3.0,5.0,10.0,0.002356,1.2366666666666668
