taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,kHops,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
39,638,1,BASELINE,1000,0,3.8750793333333333,0.9827272727272728,1.7100933333333335,126.6004584545093
39,638,1,BASELINE,1000,1,3.8602498333333335,0.9827978056426332,1.7100933333333335,125.73328356347022
39,638,1,BASELINE,1000,2,3.8536051666666666,0.9825783699059562,1.7100933333333335,125.34472777314298
39,638,1,BASELINE,2000,0,2.8347166666666666,0.9993416927899685,1.7100933333333335,65.76385694348066
39,638,1,BASELINE,2000,1,2.8319326666666664,0.999294670846395,1.7100933333333335,65.6010588116048
39,638,1,BASELINE,2000,2,2.8423820833333333,0.9993495297805642,1.7100933333333335,66.21210245834534
39,638,1,BASELINE,3000,0,3.873054666666667,1.0,1.7100933333333335,126.48206335716567
39,638,1,BASELINE,3000,1,3.8909511666666665,0.9999843260188088,1.7100933333333335,127.52858518443438
39,638,1,BASELINE,3000,2,3.8947841666666667,0.9999843260188088,1.7100933333333335,127.75272499746602
39,638,1,RUSH_HOUR,1000,0,4.5868340000000005,0.9789655172413794,1.9210166666666666,138.77117151508318
39,638,1,RUSH_HOUR,1000,1,4.532024416666667,0.9797570532915361,1.9210166666666666,135.91801650167886
39,638,1,RUSH_HOUR,1000,2,4.533944541666666,0.9804937304075235,1.9210166666666666,136.0179700852847
39,638,1,RUSH_HOUR,2000,0,2.9252689999999997,0.9993730407523511,1.9210166666666666,52.277127562662116
39,638,1,RUSH_HOUR,2000,1,2.922714416666667,0.9995689655172413,1.9210166666666666,52.14414676256498
39,638,1,RUSH_HOUR,2000,2,2.919729583333333,0.9995062695924763,1.9210166666666666,51.98876896782085
39,638,1,RUSH_HOUR,3000,0,3.9100966666666666,0.9999373040752351,1.9210166666666666,103.54308916285646
39,638,1,RUSH_HOUR,3000,1,3.911128,0.9999373040752351,1.9210166666666666,103.59677601270162
39,638,1,RUSH_HOUR,3000,2,3.9171881666666666,0.9999216300940439,1.9210166666666666,103.9122426492916
39,638,1,SPATIAL_IMBALANCE,1000,0,10.034255,0.8791849529780565,3.289476666666667,205.04107542942492
39,638,1,SPATIAL_IMBALANCE,1000,1,9.979202416666666,0.879757053291536,3.289476666666667,203.36747841348623
39,638,1,SPATIAL_IMBALANCE,1000,2,9.978104666666667,0.8796551724137931,3.289476666666667,203.33410684374314
39,638,1,SPATIAL_IMBALANCE,2000,0,5.448859333333333,0.9814733542319749,3.289476666666667,65.64517354837595
39,638,1,SPATIAL_IMBALANCE,2000,1,5.2087329166666665,0.9854388714733542,3.289476666666667,58.34533710022769
39,638,1,SPATIAL_IMBALANCE,2000,2,5.112723166666667,0.9859404388714733,3.289476666666667,55.42664334651004
39,638,1,SPATIAL_IMBALANCE,3000,0,4.187709,1.0,3.289476666666667,27.30623817567739
39,638,1,SPATIAL_IMBALANCE,3000,1,4.1902805,1.0,3.289476666666667,27.38441170480006
39,638,1,SPATIAL_IMBALANCE,3000,2,4.187396833333333,1.0,3.289476666666667,27.29674831761484
39,638,1,SPATIAL_ISLANDS,1000,0,12.527533,0.8347962382445141,3.6515883333333337,243.07079156878305
39,638,1,SPATIAL_ISLANDS,1000,1,12.448805916666666,0.8364028213166144,3.6515883333333337,240.91482336681796
39,638,1,SPATIAL_ISLANDS,1000,2,12.426968083333332,0.8377351097178684,3.6515883333333337,240.3167868046461
39,638,1,SPATIAL_ISLANDS,2000,0,7.133616000000001,0.9620062695924766,3.6515883333333337,95.3565229377353
39,638,1,SPATIAL_ISLANDS,2000,1,6.718119291666666,0.967417711598746,3.6515883333333337,83.97800295122713
39,638,1,SPATIAL_ISLANDS,2000,2,6.628277916666667,0.9691300940438872,3.6515883333333337,81.5176660567342
39,638,1,SPATIAL_ISLANDS,3000,0,4.303028333333333,0.9980877742946708,3.6515883333333337,17.839908021760365
39,638,1,SPATIAL_ISLANDS,3000,1,4.270756416666666,0.9988322884012539,3.6515883333333337,16.956130505766186
39,638,1,SPATIAL_ISLANDS,3000,2,4.25650175,0.9988322884012539,3.6515883333333337,16.565761565857407
1685,27762,1,BASELINE,1000,0,4.545191666666667,0.9986297817160146,1.31656,245.2323985740617
1685,27762,1,BASELINE,1000,1,4.498310875,0.9986859736330235,1.31656,241.67154364404203
1685,27762,1,BASELINE,1000,2,4.446012333333334,0.9987308191052519,1.31656,237.6991806931195
1685,27762,1,BASELINE,2000,0,3.0088483333333333,0.9999416468554138,1.31656,128.53864110510222
1685,27762,1,BASELINE,2000,1,3.0054705833333335,0.9999447085944817,1.31656,128.28208234591162
1685,27762,1,BASELINE,2000,2,3.0141784166666667,0.9999526330955983,1.31656,128.9434903587126
1685,27762,1,BASELINE,3000,0,4.144948,0.9999978387724227,1.31656,214.83168256668898
1685,27762,1,BASELINE,3000,1,4.158870916666666,0.9999963979540378,1.31656,215.88920494824896
1685,27762,1,BASELINE,3000,2,4.170695916666666,0.9999978387724227,1.31656,216.7873789775374
1685,27762,1,RUSH_HOUR,1000,0,21.018473833333335,0.9760683668323609,41.76129166666667,-49.669962315581316
1685,27762,1,RUSH_HOUR,1000,1,20.114678458333334,0.9791274944168288,41.76129166666667,-51.83415633097237
1685,27762,1,RUSH_HOUR,1000,2,19.326652833333334,0.9816011094301563,41.76129166666667,-53.72113250807416
1685,27762,1,RUSH_HOUR,2000,0,16.813668,0.9879698868957568,41.76129166666667,-59.738630370428766
1685,27762,1,RUSH_HOUR,2000,1,16.328678208333333,0.9890307794827462,41.76129166666667,-60.899968471601
1685,27762,1,RUSH_HOUR,2000,2,16.106576041666667,0.9896596066565809,41.76129166666667,-61.431805868871805
1685,27762,1,RUSH_HOUR,3000,0,17.081246333333333,0.9894193501909084,41.76129166666667,-59.09789747483466
1685,27762,1,RUSH_HOUR,3000,1,16.869894458333334,0.9898894171889634,41.76129166666667,-59.60399263273107
1685,27762,1,RUSH_HOUR,3000,2,16.871516916666668,0.9901758698940999,41.76129166666667,-59.60010755574092
1685,27762,1,SPATIAL_IMBALANCE,1000,0,56.29894300000001,0.7920272314674734,11.979215,369.9718888090748
1685,27762,1,SPATIAL_IMBALANCE,1000,1,55.215794625,0.8041462250558317,11.979215,360.92999103029706
1685,27762,1,SPATIAL_IMBALANCE,1000,2,53.731197208333334,0.8177389957495859,11.979215,348.53687999032775
1685,27762,1,SPATIAL_IMBALANCE,2000,0,52.23406933333333,0.8412081262156905,11.979215,336.0391672854467
1685,27762,1,SPATIAL_IMBALANCE,2000,1,49.37254375,0.865642695050789,11.979215,312.15174575295623
1685,27762,1,SPATIAL_IMBALANCE,2000,2,44.62005191666667,0.892987446869822,11.979215,272.4789305197934
1685,27762,1,SPATIAL_IMBALANCE,3000,0,47.03790433333333,0.8808482818240762,11.979215,292.6626605610913
1685,27762,1,SPATIAL_IMBALANCE,3000,1,43.570622375,0.9048978819969744,11.979215,263.7185105618356
1685,27762,1,SPATIAL_IMBALANCE,3000,2,38.37618329166666,0.9275438549095887,11.979215,220.35641143152253
1685,27762,1,SPATIAL_ISLANDS,1000,0,95.86020633333334,0.7203508392767091,14.69835,552.1834514304894
1685,27762,1,SPATIAL_ISLANDS,1000,1,93.67053970833334,0.7330383257690368,14.69835,537.2860879509152
1685,27762,1,SPATIAL_ISLANDS,1000,2,90.94729304166667,0.749102370146243,14.69835,518.758520797686
1685,27762,1,SPATIAL_ISLANDS,2000,0,84.05727300000001,0.7619897701894677,14.69835,471.8823745522458
1685,27762,1,SPATIAL_ISLANDS,2000,1,79.5377595,0.7968974677616887,14.69835,441.1339334006879
1685,27762,1,SPATIAL_ISLANDS,2000,2,69.020593375,0.8454081118075066,14.69835,369.5805541098151
1685,27762,1,SPATIAL_ISLANDS,3000,0,72.09824233333333,0.8009192421295296,14.69835,390.51929184795114
1685,27762,1,SPATIAL_ISLANDS,3000,1,65.92451791666667,0.8440626575895107,14.69835,348.5164519600273
1685,27762,1,SPATIAL_ISLANDS,3000,2,54.06724783333334,0.8891465852604279,14.69835,267.8456958320719
