metric,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,avgMean,avgStd,countMean,servedRatioMean,runs,communicationTimeMillisMean,singleAvg,singleStd,singleCount,delta,deltaPct
Client Waiting Time [min],1685,27762,1,BASELINE,2,15,1000,greedy,1,4,0,1,2000,True,random,random,1.4373983333333333,0.00851420907500155,27762.0,1.0,10,,1.31656,0.05099769191097685,27762.0,0.12083833333333338,9.178338498308728
Client Waiting Time [min],1685,27762,1,RUSH_HOUR,1,15,1000,nearest,0,4,0,1,2000,True,random,random,10.573973333333333,0.270248947097685,27612.7,0.9946221453785751,10,,41.76129166666667,0.4000077913014333,26319.8,-31.187318333333337,-74.67996579767349
Client Waiting Time [min],1685,27762,1,SPATIAL_IMBALANCE,2,15,1000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,2.384,0.14679837100048154,27747.1,0.9994632951516461,10,,11.979215,0.11729057260854153,27762.0,-9.595215,-80.0988629054575
Client Waiting Time [min],1685,27762,1,SPATIAL_ISLANDS,2,15,3000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,6.142906666666667,0.38215725046951543,27754.7,0.9997370506447663,10,,14.69835,0.0625885165777825,27762.0,-8.555443333333333,-58.20682820407279
Custom Time [micros],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0497,0.0028303906287138357,88695.8,,10,,0.0,0.0,87047.0,0.0497,
Custom Time [micros],39,638,1,RUSH_HOUR,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0593,0.006342975116877989,87488.1,,10,,0.0,0.0,86780.3,0.0593,
Custom Time [micros],39,638,1,SPATIAL_IMBALANCE,0,15,1000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0376,0.002270584848790187,89511.6,,10,,0.0,0.0,87095.7,0.0376,
Custom Time [micros],39,638,1,SPATIAL_ISLANDS,0,15,1000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0337,0.004321779468896785,90636.2,,10,,0.0,0.0,87057.1,0.0337,
Custom Time [micros],1685,27762,1,BASELINE,1,15,1000,nearest,0,4,0,1,2000,False,none,none,270.0745,6.289974779140384,93370.2,,10,,0.0,0.0,90440.1,270.0745,
Custom Time [micros],1685,27762,1,RUSH_HOUR,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,300.0786,14.325333800260607,104777.8,,10,,0.0,0.0,90182.5,300.0786,
Custom Time [micros],1685,27762,1,SPATIAL_IMBALANCE,0,15,1000,nearest,1,4,0,1,2000,False,none,none,130.2683,2.8200427518429936,111545.4,,10,,0.0,0.0,90433.0,130.2683,
Custom Time [micros],1685,27762,1,SPATIAL_ISLANDS,0,15,1000,nearest,1,4,0,1,2000,False,none,none,99.6562,4.3219034592539325,111545.3,,10,,0.0,0.0,91597.1,99.6562,
Simulation Time [millis],39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,True,random,random,0.010100000000000001,0.0003162277660168378,87215.7,,10,,0.0112,0.0007888106377466152,87047.0,-0.0010999999999999985,-9.821428571428559
Simulation Time [millis],39,638,1,RUSH_HOUR,0,15,3000,nearest,0,4,1,1,2000,False,none,none,0.0101,0.0007378647873726218,86903.0,,10,,0.0103,0.0006749485577105525,86780.3,-0.00020000000000000052,-1.9417475728155391
Simulation Time [millis],39,638,1,SPATIAL_IMBALANCE,0,15,3000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,0.0106,0.0006992058987801011,87159.6,,10,,0.0104,0.0005163977794943217,87095.7,0.00020000000000000052,1.923076923076928
Simulation Time [millis],39,638,1,SPATIAL_ISLANDS,0,15,3000,nearest,1,4,0,1,2000,True,past-avg,past-avg,0.010499999999999999,0.0007071067811865474,87071.0,,10,,0.0106,0.000516397779494322,87057.1,-0.00010000000000000113,-0.943396226415105
Simulation Time [millis],1685,27762,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,False,none,none,3.0343,0.16962576455244058,90628.1,,10,,2.0078,0.1949089816070853,90440.1,1.0265,51.12561012052993
Simulation Time [millis],1685,27762,1,RUSH_HOUR,0,15,3000,nearest,1,4,0,1,2000,False,none,none,3.9791,0.1437995904800225,90364.0,,10,,2.0522,0.15420318486406906,90182.5,1.9268999999999998,93.89435727511938
Simulation Time [millis],1685,27762,1,SPATIAL_IMBALANCE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg,past-avg,4.0042,0.13628140820457588,90310.3,,10,,2.0672,0.11790278481302587,90433.0,1.9369999999999998,93.7016253869969
Simulation Time [millis],1685,27762,1,SPATIAL_ISLANDS,0,15,3000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,6.8427999999999995,0.3398217833577541,91335.4,,10,,1.9123999999999999,0.28028723362531754,91597.1,4.9304,257.81217318552604
Taxi Travel Distance [km],39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,67.8687698,1.702821131440397,39.0,,10,,76.5447456,1.4158975599636145,39.0,-8.675975800000003,-11.334515167557111
Taxi Travel Distance [km],39,638,1,RUSH_HOUR,0,15,1000,greedy,0,4,0,1,2000,False,none,none,66.5045254,2.1986811675243048,39.0,,10,,78.07996010000001,1.9019493223686432,39.0,-11.575434700000002,-14.825103246946975
Taxi Travel Distance [km],39,638,1,SPATIAL_IMBALANCE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,35.5196865,1.468711031542453,39.0,,10,,79.8336429,1.7209141516711053,39.0,-44.3139564,-55.50787210788799
Taxi Travel Distance [km],39,638,1,SPATIAL_ISLANDS,0,15,1000,greedy,0,4,0,1,2000,False,none,none,30.9099795,2.990517973542199,39.0,,10,,90.0121192,1.5764617787384057,39.0,-59.1021397,-65.6602024541602
Taxi Travel Distance [km],1685,27762,1,BASELINE,1,15,1000,greedy,0,4,0,1,2000,False,none,none,265.7879385,1.0777165268926727,1685.0,,10,,267.35106940000003,0.8835418370812559,1685.0,-1.5631309000000329,-0.5846735169259184
Taxi Travel Distance [km],1685,27762,1,RUSH_HOUR,0,15,1000,greedy,0,4,0,1,2000,False,none,none,241.6920862,2.045405213461066,1685.0,,10,,349.31721000000005,1.410591520737417,1685.0,-107.62512380000004,-30.810140674145437
Taxi Travel Distance [km],1685,27762,1,SPATIAL_IMBALANCE,0,15,1000,greedy,0,4,0,1,2000,False,none,none,82.5960821,0.8156905495929325,1685.0,,10,,317.1411648,1.1496035250854328,1685.0,-234.54508270000002,-73.95605135268772
Taxi Travel Distance [km],1685,27762,1,SPATIAL_ISLANDS,0,15,1000,greedy,0,4,0,1,2000,False,none,none,53.451375199999994,1.1062655710308356,1685.0,,10,,365.10951059999996,0.8362783712834648,1685.0,-311.6581354,-85.3601799875985
