taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,idleRoamingMode,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
39,638,1,BASELINE,1000,none,6.177414166666666,0.9598092998955069,1.7100933333333335,261.2325740505391
39,638,1,BASELINE,1000,past-avg,2.5810352777777776,0.9964341692789969,1.7100933333333335,50.929497675240576
39,638,1,BASELINE,1000,past-avg-revisit,6.108307222222223,0.96021421107628,1.7100933333333335,257.19145283818165
39,638,1,BASELINE,1000,past-avg-total,2.453436111111111,0.997596656217346,1.7100933333333335,43.46796536121482
39,638,1,BASELINE,1000,random,1.9946977777777777,0.9994514106583073,1.7100933333333335,16.642626393361226
39,638,1,BASELINE,2000,none,2.9925584722222225,0.998419540229885,1.7100933333333335,74.99386810596434
39,638,1,BASELINE,2000,past-avg,2.7561122222222223,0.999869383490073,1.7100933333333335,61.16735668748423
39,638,1,BASELINE,2000,past-avg-revisit,2.9766836111111115,0.9983542319749216,1.7100933333333335,74.06556432267506
39,638,1,BASELINE,2000,past-avg-total,2.753283611111111,1.0,1.7100933333333335,61.0019498610862
39,638,1,BASELINE,2000,random,2.703081111111111,1.0,1.7100933333333335,58.066291378508254
39,638,1,BASELINE,3000,none,3.901661111111111,0.9999738766980147,1.7100933333333335,128.15486354221076
39,638,1,BASELINE,3000,past-avg,3.883666388888889,1.0,1.7100933333333335,127.10259803883348
39,638,1,BASELINE,3000,past-avg-revisit,3.894686666666667,0.9999738766980147,1.7100933333333335,127.74702355426993
39,638,1,BASELINE,3000,past-avg-total,3.8939944444444445,1.0,1.7100933333333335,127.70654493192053
39,638,1,BASELINE,3000,random,3.857308055555556,1.0,1.7100933333333335,125.56125916454204
39,638,1,RUSH_HOUR,1000,none,6.815996944444444,0.9564132706374086,1.9210166666666666,254.8119629941321
39,638,1,RUSH_HOUR,1000,past-avg,3.6801269444444444,0.9905303030303031,1.9210166666666666,91.57183840732483
39,638,1,RUSH_HOUR,1000,past-avg-revisit,6.611510625,0.9595741901776385,1.9210166666666666,244.16727036898868
39,638,1,RUSH_HOUR,1000,past-avg-total,3.386534861111111,0.9928291536050157,1.9210166666666666,76.28867671343009
39,638,1,RUSH_HOUR,1000,random,2.260502222222222,0.9993469174503656,1.9210166666666666,17.672181686202038
39,638,1,RUSH_HOUR,2000,none,3.0767404166666665,0.9989550679205852,1.9210166666666666,60.162088650974745
39,638,1,RUSH_HOUR,2000,past-avg,2.8924141666666667,0.9996865203761756,1.9210166666666666,50.56684394548028
39,638,1,RUSH_HOUR,2000,past-avg-revisit,3.0095852777777776,0.9989811912225705,1.9210166666666666,56.66627624839855
39,638,1,RUSH_HOUR,2000,past-avg-total,2.8783484722222226,0.999791013584117,1.9210166666666666,49.83464340352188
39,638,1,RUSH_HOUR,2000,random,2.7557666666666667,1.0,1.9210166666666666,43.453553240037834
39,638,1,RUSH_HOUR,3000,none,3.9284411111111113,0.9999477533960293,1.9210166666666666,104.49802332676855
