taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pOverlayShortcuts,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct
39,638,1,BASELINE,0,0,3.527616888888889,11.258547555555555,108.28081563999999,0.9940229885057472,0.00885,0.116315,6.647000598703714,1.2361266706433265,99.40229885057472,1.3142937853107344
39,638,1,BASELINE,0,1,3.527616888888889,11.258547555555555,108.28081563999999,0.9940229885057472,0.008665,0.11434000000000001,6.647000598703714,1.2082829128349235,99.40229885057472,1.3195614541257934
39,638,1,BASELINE,1,0,3.5311160555555556,11.264815777777779,108.58297734,0.993944618599791,0.009326666666666667,0.14668333333333333,6.665691486269492,1.3011222605665203,99.3944618599791,1.5727305218012866
39,638,1,BASELINE,1,1,3.524306388888889,11.256463611111112,108.62183208333335,0.9941065830721004,0.009280000000000002,0.14568666666666666,6.667366814171254,1.2909731801010393,99.41065830721004,1.569899425287356
39,638,1,BASELINE,2,0,3.5334613888888886,11.268940055555555,108.60923149,0.9938871473354232,0.009516666666666666,0.14134666666666668,6.6675121361367875,1.3222930628880403,99.38871473354232,1.4852539404553418
39,638,1,BASELINE,2,1,3.527052888888889,11.260939500000001,108.65881617333334,0.9940543364681296,0.009471666666666666,0.145605,6.669810749763974,1.3202508903011905,99.40543364681295,1.5372690480380082
39,638,1,RUSH_HOUR,0,0,3.807399888888889,11.498815555555556,104.9245431,0.9927586206896551,0.008546666666666668,0.11378,6.44880095441317,1.191746735563318,99.27586206896551,1.3312792511700466
39,638,1,RUSH_HOUR,0,1,3.807399888888889,11.498815555555556,104.9245431,0.9927586206896551,0.008458333333333335,0.12078499999999999,6.44880095441317,1.1784751376661147,99.27586206896551,1.4279999999999995
39,638,1,RUSH_HOUR,1,0,3.7969005555555557,11.482338444444444,104.81406246666667,0.9930825496342738,0.009093333333333333,0.145575,6.4406634011340325,1.2557441921886072,99.30825496342737,1.6008980938416424
39,638,1,RUSH_HOUR,1,1,3.780344,11.468162277777777,104.96896103,0.993092998955068,0.009135,0.15606166666666665,6.450085145315626,1.2651145912696822,99.3092998955068,1.7083926290822842
39,638,1,RUSH_HOUR,2,0,3.7968261944444444,11.482464,104.70157511999999,0.9931347962382445,0.009401666666666668,0.15239,6.4336686510013825,1.301142101306857,99.31347962382445,1.6208828221946463
39,638,1,RUSH_HOUR,2,1,3.783748666666667,11.458512222222222,104.89198843666667,0.9934796238244513,0.009368333333333334,0.16165833333333335,6.443903510176648,1.2976218980079348,99.34796238244513,1.7255826365415405
39,638,1,SPATIAL_IMBALANCE,0,0,6.5569411111111116,13.067436888888889,99.83496168666667,0.9535527690700104,0.01159,0.119005,6.257364803897856,1.8479943906918588,95.35527690700104,1.0267903364969804
39,638,1,SPATIAL_IMBALANCE,0,1,6.5569411111111116,13.067436888888889,99.83496168666667,0.9535527690700104,0.011686666666666668,0.12827166666666667,6.257364803897856,1.8614953309140791,95.35527690700104,1.0975898459783229
39,638,1,SPATIAL_IMBALANCE,1,0,6.4744181111111105,12.986288111111111,99.98333833,0.9548380355276908,0.012296666666666668,0.15814166666666668,6.261754310750392,1.9449319738117943,95.48380355276907,1.2860531309297913
39,638,1,SPATIAL_IMBALANCE,1,1,6.4443924444444445,12.958851777777777,99.95899375333333,0.9552925809822362,0.012288333333333333,0.16818166666666665,6.2592593784535895,1.9385112363390788,95.52925809822362,1.3686287806862876
39,638,1,SPATIAL_IMBALANCE,2,0,6.4269541666666665,12.9428505,100.05205043333333,0.9550835945663532,0.012530000000000001,0.16607166666666667,6.265240922462099,1.9853585193562893,95.50835945663532,1.3253923915935089
39,638,1,SPATIAL_IMBALANCE,2,1,6.425195611111111,12.943866444444444,100.03810267333333,0.9553134796238244,0.012633333333333333,0.16372499999999998,6.264325374517169,1.992930612798837,95.53134796238244,1.295976253298153
39,638,1,SPATIAL_ISLANDS,0,0,7.988059111111111,15.69129011111111,107.86979167333332,0.9316300940438872,0.011966666666666665,0.10449333333333333,6.837638783062385,2.06818038650924,93.16300940438872,0.8732033426183844
39,638,1,SPATIAL_ISLANDS,0,1,7.988059111111111,15.69129011111111,107.86979167333332,0.9316300940438872,0.011948333333333333,0.10358166666666667,6.837638783062385,2.0630595017958666,93.16300940438872,0.8669130980610963
39,638,1,SPATIAL_ISLANDS,1,0,7.891427944444445,15.604765194444445,108.36901504166667,0.9328787878787879,0.012945,0.13254666666666667,6.862238390463671,2.2108567464423166,93.28787878787878,1.0239217200978499
39,638,1,SPATIAL_ISLANDS,1,1,7.733693138888889,15.429493722222222,108.93329562333334,0.9355564263322884,0.013113333333333333,0.14532166666666668,6.887684635292886,2.22494572730781,93.55564263322884,1.1081977630910016
39,638,1,SPATIAL_ISLANDS,2,0,7.851432555555555,15.551460166666667,108.34288240333333,0.9336886102403343,0.01345,0.131335,6.857604207221823,2.295209254006392,93.36886102403344,0.9764684014869889
39,638,1,SPATIAL_ISLANDS,2,1,7.689732611111111,15.367768388888889,109.20108784333334,0.9367763845350052,0.013378333333333332,0.14900166666666664,6.900216167695841,2.262440552000885,93.67763845350052,1.113753581661891
1685,27762,1,BASELINE,0,0,3.8996626666666665,35.14551644444444,407.4922057,0.9995230891146172,3.5077100000000003,334.030375,24.742591446847026,11.656850298037032,99.95230891146171,9.52274774710566
