algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRqsRadius,p2pStrategy,p2pOverlayShortcuts,idleRoamingMode,requests,finished,waitMax,completionRatio,waitMean,travelMean
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,nearest,1,past-avg-total,12760,12760,26.683333333333334,1.0,2.756240856844305,10.493239289446187
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,nearest,1,random,12760,12760,15.733333333333333,1.0,2.6963845350052247,10.436076280041798
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,0,none,12760,12760,43.61666666666667,1.0,3.9080721003134795,11.651818181818182
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,0,past-avg,12760,12760,10.266666666666667,1.0,3.8681948798328105,11.614477533960294
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,0,past-avg-revisit,12760,12760,26.383333333333333,1.0,3.874615987460815,11.619135318704284
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,0,past-avg-total,12760,12760,10.35,1.0,3.8735475444096132,11.620044409613374
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,0,random,12760,12760,9.15,1.0,3.84083855799373,11.587298850574712
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,1,none,12760,12760,43.61666666666667,1.0,3.9080721003134795,11.651818181818182
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,1,past-avg,12760,12760,10.266666666666667,1.0,3.8681948798328105,11.614477533960294
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,1,past-avg-revisit,12760,12760,26.383333333333333,1.0,3.874615987460815,11.619135318704284
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,1,past-avg-total,12760,12760,10.35,1.0,3.8735475444096132,11.620044409613374
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,greedy,1,random,12760,12760,9.15,1.0,3.84083855799373,11.587298850574712
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,0,none,12760,12760,43.61666666666667,1.0,3.9080721003134795,11.651818181818182
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,0,past-avg,12760,12760,10.266666666666667,1.0,3.8681948798328105,11.614477533960294
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,0,past-avg-revisit,12760,12760,26.383333333333333,1.0,3.874615987460815,11.619135318704284
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,0,past-avg-total,12760,12760,10.35,1.0,3.8735475444096132,11.620044409613374
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,0,random,12760,12760,9.15,1.0,3.84083855799373,11.587298850574712
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,1,none,12760,12760,43.61666666666667,1.0,3.9080721003134795,11.651818181818182
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,1,past-avg,12760,12760,10.266666666666667,1.0,3.8681948798328105,11.614477533960294
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,1,past-avg-revisit,12760,12760,26.383333333333333,1.0,3.874615987460815,11.619135318704284
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,1,past-avg-total,12760,12760,10.35,1.0,3.8735475444096132,11.620044409613374
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,3000,nearest,1,random,12760,12760,9.15,1.0,3.84083855799373,11.587298850574712
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,0,none,12246,12246,98.58333333333333,1.0,6.180566443464532,13.433586477217052
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,0,past-avg,12713,12713,52.766666666666666,1.0,2.58259655470778,10.191285822910931
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,0,past-avg-revisit,12249,12249,98.58333333333333,1.0,6.114711405012654,13.37523607369309
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,0,past-avg-total,12731,12731,52.46666666666667,1.0,2.455566465059042,10.072481868405205
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,0,random,12754,12754,15.766666666666667,1.0,1.994427891903194,9.666358266687576
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,1,none,12252,12252,98.58333333333333,1.0,6.142606649254543,13.401086897377299
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,1,past-avg,12717,12717,52.766666666666666,1.0,2.574294251788944,10.18224423999371
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,1000,greedy,1,past-avg-revisit,12259,12259,99.33333333333333,1.0,6.07042309051853,13.33488185550752
