variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=1),1,RUSH_HOUR,6,1,100,1,4,1,none,0.01,294.559,2.87,3.282
P2PCollector+nearest (k=1),1,RUSH_HOUR,6,1,100,1,4,1,return-to-hq,0.01,303.899,3.651,4.806
P2PCollector+nearest (k=1),1,RUSH_HOUR,6,1,200,1,4,0,none,0.01,170.707,1.8050000000000002,6.391
P2PCollector+nearest (k=1),1,RUSH_HOUR,6,1,200,1,4,0,return-to-hq,0.01,167.421,1.998,8.722
P2PCollector+nearest (k=1),1,RUSH_HOUR,6,1,200,1,4,1,none,0.01,157.624,1.782,6.7909999999999995
P2PCollector+nearest (k=1),1,RUSH_HOUR,6,1,200,1,4,1,return-to-hq,0.01,167.61700000000002,2.0,8.687000000000001
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,100,1,4,0,none,0.01,336.11199999999997,3.78,1.282
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,100,1,4,0,return-to-hq,0.01,193.66500000000002,1.5699999999999998,6.823
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,100,1,4,1,none,0.01,336.584,3.832,1.2870000000000001
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,100,1,4,1,return-to-hq,0.01,196.7,1.577,6.749
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,200,1,4,0,none,0.01,240.07200000000003,2.592,3.95
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,200,1,4,0,return-to-hq,0.01,76.116,0.727,10.567
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,200,1,4,1,none,0.01,243.615,2.701,3.9130000000000003
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,6,1,200,1,4,1,return-to-hq,0.01,84.998,0.8390000000000001,10.392
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,100,1,4,0,none,0.01,386.851,4.796,1.393
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,100,1,4,0,return-to-hq,0.01,163.231,1.062,7.6739999999999995
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,100,1,4,1,none,0.01,387.779,4.859,1.388
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,100,1,4,1,return-to-hq,0.01,168.53199999999998,1.034,7.67
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,200,1,4,0,none,0.01,279.057,3.284,4.237
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,200,1,4,0,return-to-hq,0.01,108.41300000000001,0.9970000000000001,9.584999999999999
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,200,1,4,1,none,0.01,275.837,3.113,4.37
P2PCollector+nearest (k=1),1,SPATIAL_ISLANDS,6,1,200,1,4,1,return-to-hq,0.01,108.41,1.035,9.709
P2PCollector+nearest (k=2),2,BASELINE,6,1,100,1,4,0,none,0.01,309.925,3.077,2.8440000000000003
P2PCollector+nearest (k=2),2,BASELINE,6,1,100,1,4,0,return-to-hq,0.024,98.45700000000001,1.27,48.126
P2PCollector+nearest (k=2),2,BASELINE,6,1,100,1,4,1,none,0.01,309.346,3.092,2.8899999999999997
P2PCollector+nearest (k=2),2,BASELINE,6,1,100,1,4,1,return-to-hq,0.023,95.544,1.221,45.838
P2PCollector+nearest (k=2),2,BASELINE,6,1,200,1,4,0,none,0.01,165.062,1.8039999999999998,6.44
P2PCollector+nearest (k=2),2,BASELINE,6,1,200,1,4,0,return-to-hq,0.014000000000000002,66.093,0.732,29.083
P2PCollector+nearest (k=2),2,BASELINE,6,1,200,1,4,1,none,0.01,159.131,1.7489999999999999,6.631
P2PCollector+nearest (k=2),2,BASELINE,6,1,200,1,4,1,return-to-hq,0.014000000000000002,67.923,0.756,30.657999999999998
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,100,1,4,0,none,0.01,296.555,2.9259999999999997,3.228
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,100,1,4,0,return-to-hq,0.01,301.57399999999996,3.6449999999999996,4.911
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,100,1,4,1,none,0.01,295.947,2.789,3.2600000000000002
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,100,1,4,1,return-to-hq,0.01,303.895,3.599,4.822
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,200,1,4,0,none,0.01,157.83599999999998,1.6960000000000002,6.758
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,200,1,4,0,return-to-hq,0.01,164.898,1.923,8.937999999999999
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,200,1,4,1,none,0.01,153.326,1.574,6.975999999999999
P2PCollector+nearest (k=2),2,RUSH_HOUR,6,1,200,1,4,1,return-to-hq,0.01,168.47899999999998,1.996,8.8
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,100,1,4,0,none,0.01,336.006,3.7729999999999997,1.299
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,100,1,4,0,return-to-hq,0.01,193.48399999999998,1.564,6.856999999999999
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,100,1,4,1,none,0.01,336.568,3.818,1.29
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,100,1,4,1,return-to-hq,0.01,196.057,1.576,6.758
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,200,1,4,0,none,0.01,237.831,2.602,4.048
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,200,1,4,0,return-to-hq,0.01,76.59,0.736,10.616
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,200,1,4,1,none,0.01,242.382,2.713,3.971
P2PCollector+nearest (k=2),2,SPATIAL_IMBALANCE,6,1,200,1,4,1,return-to-hq,0.01,83.14500000000001,0.8210000000000001,10.405
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,100,1,4,0,none,0.01,386.437,4.7219999999999995,1.394
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,100,1,4,0,return-to-hq,0.01,165.76500000000001,1.06,7.661
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,100,1,4,1,none,0.01,386.024,4.804,1.425
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,100,1,4,1,return-to-hq,0.01,171.42000000000002,1.103,7.601000000000001
P2PCollector+nearest (k=2),2,SPATIAL_ISLANDS,6,1,200,1,4,0,none,0.01,273.209,3.1879999999999997,4.424
