metric,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,avgMean,avgStd,countMean,servedRatioMean,runs,communicationTimeMillisMean,singleAvg,singleStd,singleCount,delta,deltaPct
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,random,random,0.0078,0.0007888106377466154,87057.1,,10,0.0001031,0.003,0.0004714045207910317,87047.0,0.0048,160.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,False,none,none,0.0196,0.0010749676997731411,88542.7,,10,7.53e-05,0.003,0.0004714045207910317,87047.0,0.0166,553.3333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg,past-avg,0.011699999999999999,0.0014181364924121763,87259.1,,10,7.209999999999999e-05,0.003,0.0004714045207910317,87047.0,0.0087,290.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0216,0.0011737877907772665,88695.8,,10,6.57e-05,0.003,0.0004714045207910317,87047.0,0.018600000000000002,620.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,0.0118,0.0010327955589886448,87326.7,,10,7.58e-05,0.003,0.0004714045207910317,87047.0,0.008799999999999999,293.33333333333326
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,random,random,0.0076,0.0006992058987801011,87057.1,,10,9.25e-05,0.003,0.0004714045207910317,87047.0,0.0046,153.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,False,none,none,0.0194,0.0008432740427115681,88542.7,,10,5.97e-05,0.003,0.0004714045207910317,87047.0,0.0164,546.6666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg,past-avg,0.0114,0.0011737877907772674,87259.1,,10,6.86e-05,0.003,0.0004714045207910317,87047.0,0.008400000000000001,280.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0212,0.0009189365834726808,88695.8,,10,6.46e-05,0.003,0.0004714045207910317,87047.0,0.0182,606.6666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-total,past-avg-total,0.0118,0.0014757295747452432,87326.7,,10,0.0001259,0.003,0.0004714045207910317,87047.0,0.008799999999999999,293.33333333333326
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,random,random,0.0076,0.0006992058987801009,87057.1,,10,9.1e-05,0.003,0.0004714045207910317,87047.0,0.0046,153.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,False,none,none,0.0193,0.0008232726023485656,88542.7,,10,6.2e-05,0.003,0.0004714045207910317,87047.0,0.016300000000000002,543.3333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg,past-avg,0.0112,0.0012292725943057181,87259.1,,10,7.01e-05,0.003,0.0004714045207910317,87047.0,0.008199999999999999,273.3333333333333
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0213,0.0010593499054713793,88695.8,,10,6.720000000000001e-05,0.003,0.0004714045207910317,87047.0,0.0183,610.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,0.0114,0.0011737877907772674,87326.7,,10,7.379999999999999e-05,0.003,0.0004714045207910317,87047.0,0.008400000000000001,280.0
Calculation Time [millis],39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,random,random,0.0076,0.0006992058987801009,87057.1,,10,9.219999999999999e-05,0.003,0.0004714045207910317,87047.0,0.0046,153.33333333333331
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,False,none,none,0.0051,0.001286683937707919,87147.7,,10,0.00010709999999999999,0.003,0.0004714045207910317,87047.0,0.0021000000000000003,70.0
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg,past-avg,0.0035000000000000005,0.0007071067811865475,87237.8,,10,0.0001178,0.003,0.0004714045207910317,87047.0,0.0005000000000000004,16.666666666666682
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0056,0.0019550504398153576,87158.1,,10,0.0001116,0.003,0.0004714045207910317,87047.0,0.0026,86.66666666666666
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,0.0039,0.0008755950357709132,87183.0,,10,0.0001364,0.003,0.0004714045207910317,87047.0,0.0008999999999999998,29.999999999999993
