metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,sumMean,sumStd,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,False,none,none,10,0.0325,0.001581138830084192,0.03,0.035,2870.5,159.41228866614324,88542.7,87028,91554,33.0,9.249624617007738,0.00020730000000000002,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,past-avg,past-avg,10,0.011699999999999999,0.0013374935098492587,0.01,0.014,1022.3,115.64029478420474,87259.1,86844,87792,30.3,21.034627535460558,7.37e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0216,0.0009660917830792946,0.02,0.023,1922.5,92.57339430599558,88695.8,87028,91554,42.9,1.8529256146249726,6.36e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0116,0.0009660917830792958,0.01,0.013,1012.8,97.21202486203946,87326.7,86903,88024,45.5,16.043344068145174,0.0001332,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,True,random,random,10,0.0078,0.0007888106377466154,0.006,0.009,688.1,54.4455895571186,87057.1,86737,87412,5.8,6.924994985958874,0.0001031,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,False,none,none,10,0.0196,0.0010749676997731411,0.018,0.021,1743.5,95.32430027134858,88542.7,87028,91554,15.0,5.773502691896257,7.53e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg,past-avg,10,0.011699999999999999,0.0014181364924121763,0.01,0.015,1024.9,133.13606239900258,87259.1,86844,87792,35.4,18.762847450332384,7.209999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0216,0.0011737877907772665,0.019,0.023,1920.1,121.35846809258008,88695.8,87028,91554,31.8,2.4404006956964173,6.57e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0118,0.0010327955589886448,0.011,0.014,1019.3,100.07336197898903,87326.7,86903,88024,42.1,14.86569503551344,7.58e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,True,random,random,10,0.0076,0.0006992058987801011,0.006,0.008,669.3,53.57248464567525,87057.1,86737,87412,8.6,8.342661445845684,9.25e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,False,none,none,10,0.0194,0.0008432740427115681,0.018,0.021,1720.2,96.44664616022456,88542.7,87028,91554,12.6,4.29987079909256,5.97e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg,past-avg,10,0.0114,0.0011737877907772674,0.01,0.014,997.2,100.25389989643517,87259.1,86844,87792,38.4,13.607187643137562,6.86e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0212,0.0009189365834726808,0.019,0.022,1875.1,82.93431135543356,88695.8,87028,91554,33.8,3.881580434135903,6.46e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0118,0.0014757295747452432,0.01,0.015,1034.2,124.25493506854723,87326.7,86903,88024,47.7,1.4944341180973257,0.0001259,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,0,1,2000,True,random,random,10,0.0076,0.0006992058987801009,0.006,0.008,657.9,57.54119297415452,87057.1,86737,87412,10.5,6.819090848492928,9.1e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,False,none,none,10,0.0193,0.0008232726023485656,0.018,0.02,1698.4,85.81012631256161,88542.7,87028,91554,14.2,0.632455532033676,6.2e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg,past-avg,10,0.0112,0.0012292725943057181,0.01,0.013,952.9,103.7630313101283,87259.1,86844,87792,23.2,23.682154556637038,7.01e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0213,0.0010593499054713793,0.019,0.023,1901.8,94.76966228117989,88695.8,87028,91554,33.2,4.341018825626588,6.720000000000001e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0114,0.0011737877907772674,0.01,0.014,983.0,102.84940447080866,87326.7,86903,88024,35.5,18.16743117657407,7.379999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,1000,nearest,1,4,1,1,2000,True,random,random,10,0.0076,0.0006992058987801009,0.006,0.008,653.3,52.843689836683005,87057.1,86737,87412,8.3,6.976946164173676,9.219999999999999e-05,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,False,none,none,10,0.0051,0.001286683937707919,0.004,0.008,452.3,107.52782585607007,87147.7,86791,87501,6.0,8.881941729649483,0.00010709999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg,past-avg,10,0.0035000000000000005,0.0007071067811865475,0.003,0.005,311.1,44.22530698342045,87237.8,86884,87884,10.0,21.081851067789195,0.0001178,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0056,0.0019550504398153576,0.004,0.01,486.1,172.92801970762287,87158.1,86764,87592,23.7,20.226769940408733,0.0001116,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0039,0.0008755950357709132,0.003,0.006,337.1,64.24683303911218,87183.0,86734,87913,21.2,26.58236675358728,0.0001364,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,0,1,2000,True,random,random,10,0.0031,0.00031622776601683794,0.003,0.004,280.2,21.611725212640174,87149.2,86818,87514,4.9,7.665941994736633,0.00012119999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,False,none,none,10,0.0053,0.0014181364924121765,0.004,0.008,464.2,119.26702068141982,87147.7,86791,87501,6.1,7.294594650226366,0.00011679999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg,past-avg,10,0.0034000000000000002,0.0005163977794943222,0.003,0.004,301.8,33.91754708112013,87237.8,86884,87884,0.3,0.9486832980505138,0.0001227,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0058000000000000005,0.0019321835661585919,0.004,0.01,498.7,166.85059850723408,87158.1,86764,87592,28.7,19.883270466511398,0.0001197,10,
