taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRqsRadius,idleRoamingMode,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct
39,638,1,BASELINE,0,1000,none,6.213748333333333,14.050640000000001,67.8687698,0.9598746081504702,0.02105,0.0838,4.321898479324002,3.0412475949027398,95.98746081504702,0.39809976247030876
39,638,1,BASELINE,0,1000,past-avg,2.580945,10.193975,119.4923548,0.9963949843260189,0.0113875,0.07585,7.330756919555159,1.5629424989959337,99.6394984326019,0.6660812294182217
39,638,1,BASELINE,0,1000,past-avg-revisit,6.139686666666667,13.972441666666665,68.0446318,0.9606583072100313,0.0214125,0.0653375,4.329575065989315,3.103677974012452,96.06583072100314,0.3051371862230006
39,638,1,BASELINE,0,1000,past-avg-total,2.5371566666666667,10.155416666666666,119.5806312,0.9968652037617555,0.0114125,0.0869,7.332727821574866,1.5665507333122681,99.68652037617555,0.7614457831325302
39,638,1,BASELINE,0,1000,random,1.980678333333333,9.652893333333333,261.32467269999995,0.9993730407523511,0.007625,0.09365,15.984707443411978,1.0446324503021223,99.93730407523512,1.2281967213114755
39,638,1,BASELINE,0,2000,none,3.0000733333333334,10.713728333333332,83.8400822,0.99858934169279,0.0052125,0.1124,5.132289845683171,0.7154753435949351,99.858934169279,2.156354916067146
39,638,1,BASELINE,0,2000,past-avg,2.7571666666666665,10.49204,99.1404106,0.9998432601880878,0.0035625,0.1219875,6.061340107773015,0.49597170071308005,99.98432601880877,3.424210526315789
39,638,1,BASELINE,0,2000,past-avg-revisit,2.963716666666667,10.692026666666667,84.3948357,0.9982758620689655,0.0055,0.11435,5.167806225725647,0.7556366634682826,99.82758620689654,2.079090909090909
39,638,1,BASELINE,0,2000,past-avg-total,2.75733,10.492638333333334,99.2142426,0.9998432601880878,0.003875,0.145375,6.065822200857271,0.5312491695496622,99.98432601880877,3.7516129032258068
39,638,1,BASELINE,0,2000,random,2.6963866666666667,10.436076666666667,108.67422959999999,1.0,0.0032125,0.1256,6.643095539811912,0.446532131661442,100.0,3.9097276264591434
39,638,1,BASELINE,0,3000,none,3.9080733333333333,11.651821666666667,94.1985436,1.0,0.0031875000000000002,0.1743375,5.758218182445141,0.4349725705329154,100.0,5.469411764705883
39,638,1,BASELINE,0,3000,past-avg,3.868195,11.614478333333334,98.7812191,1.0,0.0033,0.1813125,6.038350383855799,0.4501371473354232,100.0,5.494318181818182
39,638,1,BASELINE,0,3000,past-avg-revisit,3.8746183333333333,11.619136666666666,95.25957079999999,1.0,0.0034625000000000003,0.2026625,5.823077211912225,0.4696512539184953,100.0,5.853068592057761
39,638,1,BASELINE,0,3000,past-avg-total,3.8734949999999997,11.619675,99.0328547,1.0,0.0033125000000000003,0.20933749999999998,6.053732497335423,0.4600901253918495,100.0,6.319622641509433
39,638,1,BASELINE,0,3000,random,3.84084,11.587298333333333,102.98683989999999,1.0,0.003,0.1709875,6.295433786990595,0.4067985893416928,100.0,5.699583333333332
39,638,1,BASELINE,1,1000,none,6.16660375,14.003663333333334,67.9859422,0.9599529780564263,0.0196,0.0826375,4.328975755613871,2.8454193012272286,95.99529780564264,0.42161989795918364
39,638,1,BASELINE,1,1000,past-avg,2.5787620833333333,10.193930416666667,119.331532525,0.996473354231975,0.0110875,0.06965,7.320293353730225,1.5211266512050627,99.6473354231975,0.628184892897407
39,638,1,BASELINE,1,1000,past-avg-revisit,6.097160416666667,13.945055833333333,68.15891395,0.960344827586207,0.0217625,0.0731125,4.33816606373015,3.1551099429691223,96.0344827586207,0.3359563469270534
39,638,1,BASELINE,1,1000,past-avg-total,2.53819625,10.158979166666667,119.40605417500001,0.9968652037617555,0.011475,0.0917,7.322034970436725,1.579634778520436,99.68652037617555,0.799128540305011
39,638,1,BASELINE,1,1000,random,1.99863,9.670806666666667,264.0278663,0.9994514106583072,0.0076749999999999995,0.0936125,16.14862674769833,1.0489079165056836,99.94514106583073,1.2197068403908795
39,638,1,BASELINE,1,2000,none,2.98582125,10.709388749999999,83.84835895,0.9983542319749217,0.0052625,0.11812500000000001,5.133986687961339,0.7201314025483659,99.83542319749216,2.2446555819477436
39,638,1,BASELINE,1,2000,past-avg,2.75978,10.495710833333334,98.67382244999999,0.9998432601880878,0.0035875000000000004,0.123775,6.032792264509629,0.4967913859539475,99.98432601880877,3.4501742160278734
39,638,1,BASELINE,1,2000,past-avg-revisit,2.9550229166666666,10.68346,84.84836047499999,0.9982758620689656,0.0055875000000000005,0.12129999999999999,5.1955966540397185,0.7703213089585333,99.82758620689656,2.1709172259507827
39,638,1,BASELINE,1,2000,past-avg-total,2.77499,10.509045833333332,99.31526235,0.9999216300940439,0.0038624999999999996,0.1391375,6.071494248283859,0.5306011107119482,99.9921630094044,3.6022653721682847
39,638,1,BASELINE,1,2000,random,2.70717625,10.44699625,108.600162,1.0,0.0032875,0.13016250000000001,6.6385678965517245,0.45842476489028217,100.0,3.959315589353613
39,638,1,BASELINE,1,3000,none,3.9003175,11.645083333333332,94.18985155000001,1.0,0.0031375,0.1883125,5.75768685023511,0.4341888714733542,100.0,6.0019920318725095
39,638,1,BASELINE,1,3000,past-avg,3.8954466666666665,11.641859166666666,98.9516753,1.0,0.0033250000000000003,0.19799999999999998,6.0487701202194355,0.4499020376175549,100.0,5.954887218045112
39,638,1,BASELINE,1,3000,past-avg-revisit,3.897054166666667,11.641170833333334,95.81870835,1.0,0.0035625,0.1965125,5.85725646653605,0.48914576802507836,100.0,5.516140350877193
39,638,1,BASELINE,1,3000,past-avg-total,3.8768000000000002,11.623080833333333,99.11294889999999,1.0,0.003375,0.2066375,6.058628537774295,0.46349921630094043,100.0,6.122592592592593
39,638,1,BASELINE,1,3000,random,3.8628083333333336,11.609006666666666,103.66627969999999,1.0,0.0030875,0.1823625,6.3369669409090905,0.42159090909090907,100.0,5.906477732793523
39,638,1,BASELINE,2,1000,none,6.151890416666666,14.004314583333333,67.980050525,0.9596003134796238,0.020125,0.07189999999999999,4.330178770539345,2.925293059233346,95.96003134796238,0.3572670807453415
39,638,1,BASELINE,2,1000,past-avg,2.58339875,10.19785,119.37034034999999,0.9964341692789969,0.01185,0.0728,7.3229721619575985,1.6256593025487036,99.6434169278997,0.6143459915611815
39,638,1,BASELINE,2,1000,past-avg-revisit,6.079352083333333,13.949955,68.1676717,0.9596394984326019,0.0223875,0.0679875,4.341846157214304,3.2479664122111815,95.96394984326018,0.3036850921273032
39,638,1,BASELINE,2,1000,past-avg-total,2.5391749999999997,10.159557916666667,119.43423795000001,0.9968260188087774,0.0119625,0.0814625,7.3240588612945015,1.6399607514298213,99.68260188087774,0.6809822361546499
39,638,1,BASELINE,2,1000,random,2.004785,9.676275833333333,264.89818345000003,0.9995297805642634,0.0079875,0.100525,16.200559392380374,1.0928251816421024,99.95297805642635,1.258528951486698
39,638,1,BASELINE,2,2000,none,2.9917808333333333,10.71686,83.7146647,0.9983150470219435,0.005625,0.125625,5.126000700535115,0.7651482085722753,99.83150470219435,2.233333333333333
39,638,1,BASELINE,2,2000,past-avg,2.75139,10.488344166666668,97.8534285,0.9999216300940439,0.0038875000000000003,0.1343,5.982126720899175,0.5336472640659833,99.9921630094044,3.4546623794212215
39,638,1,BASELINE,2,2000,past-avg-revisit,3.0097308333333332,10.726174166666667,85.006260025,0.9984326018808778,0.005825,0.1293,5.204438608469099,0.8000683155235322,99.84326018808778,2.219742489270386
39,638,1,BASELINE,2,2000,past-avg-total,2.762950833333333,10.497865833333334,98.6406176,0.9998432601880878,0.0041125,0.153125,6.030752809810632,0.5615527944961443,99.98432601880877,3.7234042553191493
39,638,1,BASELINE,2,2000,random,2.7056804166666666,10.44565875,107.98916295,1.0,0.0034000000000000002,0.1326375,6.60121842484326,0.4623040752351097,100.0,3.90110294117647
39,638,1,BASELINE,2,3000,none,3.8965924999999997,11.641841666666668,94.16681205,0.9999216300940439,0.003425,0.196325,5.756737696220652,0.4648194170361658,99.9921630094044,5.732116788321168
39,638,1,BASELINE,2,3000,past-avg,3.8873575000000002,11.633596666666666,98.88628879999999,1.0,0.00345,0.198425,6.044773139811912,0.47858542319749214,100.0,5.751449275362319
39,638,1,BASELINE,2,3000,past-avg-revisit,3.9149458333333333,11.658613333333333,96.0282529,1.0,0.0038250000000000003,0.2345875,5.870065616144201,0.521453761755486,100.0,6.133006535947712
39,638,1,BASELINE,2,3000,past-avg-total,3.8879283333333334,11.634195833333333,99.25579590000001,1.0,0.0035625,0.22025,6.0673605644200626,0.4914576802507837,100.0,6.182456140350878
39,638,1,BASELINE,2,3000,random,3.8682758333333336,11.614460833333332,103.7211954,1.0,0.0032875,0.1714375,6.340323856739812,0.4463949843260188,100.0,5.2148288973384025
39,638,1,RUSH_HOUR,0,1000,none,6.909426666666667,14.763738333333333,66.5045254,0.9553291536050157,0.017112500000000003,0.0882625,4.254873270757144,2.4481584717908227,95.53291536050156,0.5157779401022643
39,638,1,RUSH_HOUR,0,1000,past-avg,3.6675933333333335,11.205346666666667,111.366371,0.990909090909091,0.0125625,0.0918375,6.870034480473355,1.7258058985988503,99.0909090909091,0.731044776119403
39,638,1,RUSH_HOUR,0,1000,past-avg-revisit,6.706376666666666,14.536606666666666,66.877591,0.9564263322884013,0.0183125,0.08059999999999999,4.273835915872912,2.6269598652008392,95.64263322884014,0.44013651877133103
39,638,1,RUSH_HOUR,0,1000,past-avg-total,3.742196666666667,11.263451666666665,111.2007836,0.9913793103448276,0.0124125,0.08165,6.856521761467614,1.712369157194427,99.13793103448276,0.657804632426989
39,638,1,RUSH_HOUR,0,1000,random,2.276585,9.87981,226.229475,0.9992163009404389,0.0083,0.1141875,13.839631878989474,1.131391364487203,99.92163009404389,1.375753012048193
39,638,1,RUSH_HOUR,0,2000,none,3.082845,10.758703333333333,83.4594695,0.9987460815047022,0.005275,0.1077125,5.10814566385862,0.7223194466930937,99.87460815047022,2.041943127962085
39,638,1,RUSH_HOUR,0,2000,past-avg,2.8884133333333333,10.583661666666668,100.5487778,0.9995297805642634,0.0043125,0.1355,6.149249818328781,0.5799655966458178,99.95297805642635,3.1420289855072463
39,638,1,RUSH_HOUR,0,2000,past-avg-revisit,3.02642,10.707795,84.4942623,0.9989028213166143,0.005425,0.109225,5.1706931891962995,0.7348946069537551,99.89028213166144,2.013364055299539
39,638,1,RUSH_HOUR,0,2000,past-avg-total,2.890225,10.585038333333333,100.2231889,0.9996865203761754,0.004375,0.13545000000000001,6.128432084991363,0.5908500059054246,99.96865203761755,3.096
39,638,1,RUSH_HOUR,0,2000,random,2.7568433333333333,10.461586666666667,108.038383,1.0,0.0035625,0.1358875,6.604227173981191,0.4947100313479624,100.0,3.81438596491228
39,638,1,RUSH_HOUR,0,3000,none,3.9210583333333333,11.63505,93.9852492,0.9998432601880878,0.0033625,0.2016375,5.746083920065894,0.45809830563525145,99.98432601880877,5.996654275092936
39,638,1,RUSH_HOUR,0,3000,past-avg,3.9196866666666663,11.635585,99.5567897,0.9998432601880878,0.0035125,0.202325,6.08669200935001,0.47865207452645875,99.98432601880877,5.7601423487544485
39,638,1,RUSH_HOUR,0,3000,past-avg-revisit,3.91341,11.627925000000001,95.6367974,1.0,0.0035375000000000003,0.1897375,5.846136518181818,0.4880681818181818,100.0,5.363604240282685
39,638,1,RUSH_HOUR,0,3000,past-avg-total,3.922061666666667,11.638328333333334,99.9241129,1.0,0.0035125,0.204125,6.1082137979623825,0.47695924764890285,100.0,5.8113879003558715
39,638,1,RUSH_HOUR,0,3000,random,3.893906666666667,11.6096,102.2089547,1.0,0.0033,0.1794,6.247882810815047,0.4480407523510972,100.0,5.4363636363636365
39,638,1,RUSH_HOUR,1,1000,none,6.7491079166666665,14.638123333333333,66.73612275,0.9558777429467085,0.0166,0.0787125,4.267241002319813,2.3818585974665405,95.58777429467085,0.47417168674698795
39,638,1,RUSH_HOUR,1,1000,past-avg,3.6919125,11.236947083333334,111.282236075,0.9901645768025079,0.0125125,0.0991875,6.870081961394616,1.7325845658351096,99.0164576802508,0.7927072927072928
39,638,1,RUSH_HOUR,1,1000,past-avg-revisit,6.566689583333333,14.297460416666667,67.57274085,0.9603840125391849,0.0179625,0.09206249999999999,4.300770612522645,2.574298370907749,96.0384012539185,0.5125260960334029
39,638,1,RUSH_HOUR,1,1000,past-avg-total,3.6789058333333333,11.2256,111.39740535,0.9903605015673982,0.0130125,0.09458749999999999,6.875763242494404,1.7926460383168767,99.03605015673982,0.7268972142170989
39,638,1,RUSH_HOUR,1,1000,random,2.259054166666667,9.86381125,225.6004307,0.9995297805642633,0.00835,0.108525,13.797061088881152,1.1381793189189904,99.95297805642633,1.299700598802395
39,638,1,RUSH_HOUR,1,2000,none,3.080185,10.746810833333333,83.6623447,0.999294670846395,0.0053375,0.1424375,5.117786342141885,0.7280798778977629,99.9294670846395,2.6686182669789225
