metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runs,avgMean,avgStd,avgMin,avgMax,servedRatioMean
Simulation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,2.0677,0.13366047367199563,1.878,2.282,
Simulation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,2.1791,0.13877916109976873,1.987,2.41,
Simulation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,10,2.1581,0.21369264012699288,1.794,2.475,
Simulation Time [millis],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,10,1.9434,0.2930453889758376,1.419,2.243,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,76.5447456,1.4158975599636145,74.234395,79.03358999999999,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,78.07996010000001,1.9019493223686432,74.169112,80.349993,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,79.8336429,1.7209141516711053,77.539117,82.776509,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,90.0121192,1.5764617787384057,87.219088,92.110852,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,1685,27762,1,BASELINE,10,267.35106940000003,0.8835418370812561,265.691897,268.987126,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,1685,27762,1,RUSH_HOUR,10,349.31721000000005,1.410591520737401,346.876792,351.05296500000003,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_IMBALANCE,10,317.1411648,1.1496035250854366,314.550607,318.685193,
Taxi Travel Distance [km],TaxiAlgorithmSinglePassenger,1685,27762,1,SPATIAL_ISLANDS,10,365.10951059999996,0.8362783712834615,363.629662,366.479756,
