window,tickBlockSize,series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,firstBlock,lastBlock,blocks,activeClientsMean,servedRequestsMean,finishedRequestsMean,meanBlockWaitingTime,waitingTimeMax,waitingTimeSum,waitingTimeCount,calculationTimeMillisMean,pooledClientWaitingTime
all,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=0, roam=none, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,0,90,91,626.0351648351649,305.0736263736264,305.0769230769231,2.9184356775600815,28.208333333333332,785902.3333333334,277617,3.1564384527472527,2.830886917347761
all,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=0, roam=random, minN=0",TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,0,87,88,4.565217391304348,7.299771167048055,7.299771167048055,2.7100699675739848,8.783333333333333,17517.85,6380,0.0037797459954233407,2.745744514106583
all,1000,Selected P2P,"k=1, r=2000, greedy, shortcuts=1, roam=past-avg-total, minN=0",TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,0,87,88,4.045610034207526,7.273660205245154,7.274800456100342,2.7241508593648054,5.741666666666666,17433.8,6379,0.0034918620296465223,2.7329989026493178
all,1000,Selected P2P,"k=1, r=2000, nearest, shortcuts=0, roam=past-avg-revisit, minN=0",TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,0,90,91,783.5236523652366,303.3773377337734,305.4125412541254,8.112616241976504,41.503501945525294,3470287.316666667,275770,4.273205341034104,12.583991430056448
all,1000,Selected P2P,"k=2, r=3000, greedy, shortcuts=0, roam=past-avg, minN=0",TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,0,87,88,4.94526795895097,7.274800456100342,7.274800456100342,3.847291152499993,5.933333333333334,24588.416666666668,6380,0.0042702223489167615,3.853983803552769
all,1000,Selected P2P,"k=2, r=3000, nearest, shortcuts=1, roam=past-avg-total, minN=1",TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,0,92,93,805.7519042437432,300.6474428726877,302.0892274211099,16.321038096902807,78.16111111111111,4339279.45,276295,8.525134505984767,15.705240594292333
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,10,85,76,4.2026315789473685,7.406578947368421,7.402631578947369,1.7128574857768937,4.947619047619048,9751.7,5629,0.002947427631578947,1.7324036240895364
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,RUSH_HOUR,10,85,76,4.668421052631579,8.06842105263158,8.082894736842105,1.780372426366005,7.466666666666667,11924.016666666666,6132,0.002572757894736842,1.9445558817134159
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_IMBALANCE,10,85,76,4.389473684210526,7.346052631578948,7.346052631578948,3.32005342529305,6.08,18861.916666666668,5583,0.002521032894736842,3.378455430174936
blocks_10_85,1000,Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,SPATIAL_ISLANDS,10,85,76,4.980263157894737,7.397368421052631,7.3881578947368425,3.6585320234711682,7.110185185185185,21233.266666666666,5622,0.002506715789473684,3.7768172655045653
