algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,idleRoamingMode,spatialRequests,zoneWaitingMin,zoneWaitingMax,waitingMean,pickedUpPerRun,notPickedUpPerRun,notPickedUpPct
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,none,452960,2.1355610561056104,10.511991434689506,4.3314966737313085,629.1111111111111,8.888888888888914,1.3932427725531213
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,past-avg,458794,2.13125,4.448185731857318,3.0740992689529505,637.213888888889,0.7861111111110404,0.12321490769765524
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,past-avg-revisit,453012,2.1108187134502923,10.072183908045977,4.300810500972748,629.1833333333333,8.81666666666672,1.3819226750261318
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,past-avg-total,458858,2.0464912280701753,4.746908602150538,3.061389507574602,637.3027777777778,0.6972222222221944,0.1092824799721308
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,random,459276,2.0956228956228955,3.93860103626943,2.8518479810252075,637.8833333333333,0.11666666666667425,0.018286311389760855
TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,none,452518,2.3110659439927734,11.038808038808039,4.571305745480474,628.4972222222223,9.502777777777737,1.4894636015325606
TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,past-avg,457838,2.4862217795484725,8.638141025641026,3.498066637835508,635.8861111111112,2.113888888888823,0.33133054684777796
TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,past-avg-revisit,453018,2.360152953586498,11.272051282051283,4.478884062001952,629.1916666666667,8.80833333333328,1.3806165099268464
TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,past-avg-total,457908,2.3757716049382713,9.368346774193549,3.5036165197667075,635.9833333333333,2.0166666666666515,0.3160919540229861
TaxiAlgorithmP2PCollector,39,638,1,RUSH_HOUR,random,459260,2.274652777777778,4.951028806584363,2.969079533742687,637.8611111111111,0.13888888888891415,0.02176941832114642
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,none,406756,1.6132716049382718,33.55441860465116,10.746977057498846,564.9388888888889,73.06111111111113,11.451584813653783
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,past-avg,459032,1.513131313131313,14.545,2.948738214329284,637.5444444444444,0.4555555555556339,0.07140369209335953
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,past-avg-revisit,408548,1.5429166666666667,35.41958525345622,10.342758704811512,567.4277777777778,70.5722222222222,11.061476837338901
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,past-avg-total,459054,1.5553030303030304,15.561006289308176,2.9528167347051397,637.575,0.4249999999999545,0.06661442006268879
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_IMBALANCE,random,459238,0.16666666666666666,4.876628352490421,3.1735882048088357,637.8305555555556,0.16944444444436613,0.026558690351781527
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,none,382318,0.6425925925925926,63.74285714285715,13.460116534752046,530.9972222222223,107.00277777777774,16.771595262974568
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,past-avg,458960,1.088888888888889,22.816666666666666,2.9679939428272615,637.4444444444445,0.5555555555555429,0.08707767328456785
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,past-avg-revisit,384840,1.1819444444444445,49.66808510638298,12.838420599036828,534.5,103.5,16.222570532915363
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,past-avg-total,458940,1.088888888888889,22.816666666666666,2.9652876919277755,637.4166666666666,0.5833333333333712,0.09143155694880427
TaxiAlgorithmP2PCollector,39,638,1,SPATIAL_ISLANDS,random,459154,0.9388888888888888,8.606038647342995,3.172520730154443,637.713888888889,0.2861111111110404,0.04484500174154238
TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,none,19982948,2.5710063734303965,4.595320463424856,3.5041279803493794,27754.094444444447,7.905555555553292,0.02847617446708916
TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,past-avg,19966111,2.735775225435323,8.162740444339832,5.461680739095026,27730.709722222222,31.2902777777781,0.11270901872263563
TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,past-avg-revisit,19983550,2.5999206961119063,4.491724519569373,3.4813898598263737,27754.930555555555,7.069444444445253,0.025464463815450086
TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,past-avg-total,19966009,2.730675899621212,8.227477143563133,5.472274176910702,27730.568055555555,31.431944444444525,0.1132193085672665
TaxiAlgorithmP2PCollector,1685,27762,1,BASELINE,random,19988612,2.613841064215072,2.8342816972397964,2.748849179722934,27761.96111111111,0.03888888888832298,0.00014007956519099122
TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,none,19689693,3.654436558368351,30.814179633568415,16.268617873659412,27346.795833333334,415.2041666666664,1.4955844919914503
TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,past-avg,19611827,5.742277603501027,31.930570552788325,22.774319308275903,27238.64861111111,523.3513888888883,1.8851357571100364
TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,past-avg-revisit,19747985,3.742562141809943,28.80693074315779,15.205162671026944,27427.756944444445,334.24305555555475,1.2039588486260167
TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,past-avg-total,19612892,5.77039688127461,31.964465854023505,22.78019616722851,27240.127777777776,521.8722222222241,1.879807730791096
TaxiAlgorithmP2PCollector,1685,27762,1,RUSH_HOUR,random,19869640,4.12858848066465,20.492132540038916,12.201833846343803,27596.722222222223,165.27777777777737,0.5953381520703745
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,none,13440960,2.3501969573485466,133.39263612340216,92.146360184342,18668.0,9094.0,32.7570059793963
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,past-avg,19925468,2.6137447589098532,9.785907098553444,6.218548057859084,27674.26111111111,87.73888888888905,0.31603951044193157
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,past-avg-revisit,14162538,2.3727995110024453,125.12695540729013,85.51150596853944,19670.191666666666,8091.808333333334,29.147065533222875
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,past-avg-total,19927560,2.6410993847465885,9.549967432613085,6.121884136843648,27677.166666666668,84.83333333333212,0.3055735657853617
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_IMBALANCE,random,18349165,2.5076495230048934,92.62312070081734,52.24986328805698,25484.95138888889,2277.0486111111095,8.202033755172932
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,none,10706939,2.4453012992831544,217.1665276466268,128.954120864983,14870.74861111111,12891.25138888889,46.43488001184673
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,past-avg,19066523,2.5927616889939586,101.29720154714329,50.22031750886095,26481.281944444447,1280.7180555555533,4.613205300610739
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,past-avg-revisit,11366587,2.426603569295102,211.20117346425664,119.70424872479312,15786.926388888889,11975.073611111111,43.1347655468306
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,past-avg-total,19090359,2.616865313895456,101.30269174686498,49.06539356768164,26514.387499999997,1247.612500000003,4.493957567898576
TaxiAlgorithmP2PCollector,1685,27762,1,SPATIAL_ISLANDS,random,18559210,2.4802622353106156,126.19091837483684,57.35077727715781,25776.680555555555,1985.3194444444453,7.151211888352588
TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,n/a,6380,0.8988095238095238,3.654166666666667,1.7100940438871473,638.0,0.0,0.0
