taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,1,p2pRqsRadius,1000,2000,distance,relative percent,city-scenario,10,0.43161427502622207,0.010303621714793376,-0.4213106533114286,1.190530920992581,-1.2729651694361301,0.4303438628132731,5,0.2920822378524412,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,1,p2pRqsRadius,1000,2000,pickup,percentage points,city-scenario,10,-0.0015673981191266506,-0.0031347962382444194,-0.0015673981191177688,0.08949280516376536,-0.0655866943292863,0.062451898091050756,7,0.9570418695377845,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,1,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario,10,-0.3868249653380141,0.060823841795756284,0.44764880713377025,1.864428919652262,-0.8860832962638552,1.7813809105313958,5,0.4671154434977496,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,1,p2pRqsRadius,2000,3000,distance,relative percent,city-scenario,10,0.010303621714793376,0.30110469450927213,0.29080107279447875,0.8793550833357667,-0.3382516588857142,0.9198538044746717,5,0.3229448408294511,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,1,p2pRqsRadius,2000,3000,pickup,percentage points,city-scenario,10,-0.0031347962382444194,0.0,0.0031347962382444194,0.01779455210650563,-0.009594659500113744,0.015864251976602583,9,0.5910512317836047,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,0,1,p2pRqsRadius,2000,3000,waiting,relative percent,city-scenario,10,0.060823841795756284,0.34808516436530046,0.2872613225695442,0.6154943743396484,-0.1530368287112958,0.7275594738503841,7,0.17408200119192657,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,1,2,p2pRqsRadius,1000,2000,distance,relative percent,city-scenario,10,0.14584607040567854,-0.4385443636449615,-0.5843904340506401,0.9546998169560551,-1.2673415412559583,0.09856067315467809,6,0.08489403795852327,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,1,2,p2pRqsRadius,1000,2000,pickup,percentage points,city-scenario,10,-0.02115987460815094,0.002351097178684425,0.023510971786835366,0.0478848035000616,-0.010743753088828335,0.05776569666249907,7,0.1549244543750762,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,1,2,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario,10,-0.12147466999971157,0.2690341848867883,0.3905088548864999,0.4945789453498848,0.03670839077403004,0.7443093189989698,8,0.03403639305283439,1.0
39.0,638.0,1.0,BASELINE,hops_by_radius,kHops,1,2,p2pRqsRadius,2000,3000,distance,relative percent,city-scenario,10,-0.4385443636449615,0.06545347389359968,0.5039978375385612,0.7906188877856754,-0.06157684384374207,1.0695725189208645,6,0.07461841854774631,1.0
