taxiCount,clientCount,taxiSeatCount,spawnScenario,worldSeed,effectAtModeratorFrom,effectAtModeratorTo,interaction,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope
39.0,638.0,1.0,BASELINE,0,-61.989297658862874,-19.039684152002646,42.94961350686023,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,1,-56.322511695024915,-1.7748291113791614,54.54768258364575,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,2,-57.25491745003555,-7.114956032478048,50.1399614175575,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,3,-59.49467807575917,-5.399738748367167,54.094939327392,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,4,-51.89234384931587,-12.041278104495811,39.85106574482006,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,5,-68.93632260641594,-4.560339964795745,64.3759826416202,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,6,-47.19355382559491,-0.7400787894288441,46.45347503616607,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,7,-59.11620707985914,-15.74095183690465,43.37525524295449,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,8,-65.32608520242434,-4.195558531085519,61.13052667133882,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,BASELINE,9,-56.45934063305924,-1.0633919867030883,55.39594864635615,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,0,-56.59326923401991,-10.175016331148301,46.41825290287161,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,1,-26.767383957142354,2.967903097494773,29.735287054637126,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,2,-50.79516567451239,-10.483876109964086,40.311289564548304,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,3,-45.93212031489132,-4.59790094986462,41.3342193650267,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,4,-45.671538642803824,-2.363708018480404,43.30783062432342,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,5,-61.92727757059138,-8.484496395200447,53.442781175390934,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,6,-19.797247251689875,-6.3674043548763155,13.42984289681356,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,7,-51.321022071862885,-8.999681952731054,42.32134011913183,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,8,-29.982005462836693,-6.6771323528055255,23.304873110031167,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,RUSH_HOUR,9,-49.58265549491405,-1.4433130936853056,48.139342401228745,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,0,-90.24254610250793,-68.30749012097046,21.935055981537474,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,1,-89.8925406838925,-67.0760960358167,22.8164446480758,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,2,-90.69970152345164,-73.08384707075652,17.615854452695118,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,3,-92.03731077701688,-71.49146561012981,20.545845166887077,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,4,-91.33349953565836,-69.89947326856678,21.434026267091582,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,5,-90.32031399293462,-69.38266486253791,20.937649130396707,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,6,-91.88070401602386,-74.39821696288705,17.482487053136808,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,7,-89.23779748808245,-68.34271872500737,20.895078763075077,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,8,-91.8830613378003,-70.6316206984611,21.251440639339194,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,2000,waiting,relative percent,city-scenario
