taxiCount,clientCount,taxiSeatCount,spawnScenario,architecture,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct
39,638,1,BASELINE,Central,1.7100933333333335,9.456726666666667,76.5447456,1.0,0.003,0.0,4.679067521003135,0.39937304075235114,100.0,0.0
39,638,1,BASELINE,P2P mean,3.533820305555556,11.265935314814815,106.95294646833334,0.9939481017067224,0.007442222222222223,0.13488027777777778,6.566046416705669,1.0428332876567976,99.39481017067224,1.8123656315318002
39,638,1,RUSH_HOUR,Central,1.9210166666666666,9.639435,78.07996010000001,1.0,0.0024000000000000002,0.0,4.772912921473354,0.3415360501567398,100.0,0.0
39,638,1,RUSH_HOUR,P2P mean,3.8179443518518514,11.505236689814815,103.39497853555555,0.9929214559386973,0.007407777777777777,0.147035,6.354459714740582,1.0283780050043339,99.29214559386973,1.9848732563371834
39,638,1,SPATIAL_IMBALANCE,Central,3.289476666666667,9.8634,79.8336429,1.0,0.0025,0.0,4.880112967241379,0.34247648902821315,100.0,0.0
39,638,1,SPATIAL_IMBALANCE,P2P mean,6.476947740740741,12.990630462962963,98.4891561286111,0.954644723092999,0.010856666666666666,0.17477666666666666,6.171268054725116,1.7456927681605447,95.4644723092999,1.609855695425238
39,638,1,SPATIAL_ISLANDS,Central,3.6515883333333337,11.113866666666667,90.0121192,1.0,0.0025,0.0,5.502308226959248,0.3404388714733543,100.0,0.0
39,638,1,SPATIAL_ISLANDS,P2P mean,7.882572407407407,15.580143976851852,106.96893966666667,0.9335649599442704,0.011487777777777779,0.14259305555555557,6.774333942115843,1.98562464225937,93.35649599442704,1.2412588258052035
1685,27762,1,BASELINE,Central,1.31656,32.715035,267.35106940000003,1.0,0.6234,0.0,16.226732653951444,2.0305561558965493,100.0,0.0
1685,27762,1,BASELINE,P2P mean,4.134815481481482,35.35179335185185,387.8752616486111,0.9994399819097247,4.080781111111111,441.45934444444447,23.55325990159924,13.560157350219116,99.94399819097247,10.81801087645802
1685,27762,1,RUSH_HOUR,Central,41.76129166666667,71.92939166666666,349.31721000000005,0.9480512931345003,0.6409,0.0,22.363378658749355,2.1961078568149057,94.80512931345004,0.0
1685,27762,1,RUSH_HOUR,P2P mean,17.862528810185186,47.72818972685185,319.51068880277774,0.985880350038822,6.902773055555556,2593.7610933333335,19.651634624020538,23.935563503460035,98.5880350038822,37.575639130215905
1685,27762,1,SPATIAL_IMBALANCE,Central,11.979215,38.78894666666666,317.1411648,1.0,0.644,0.0,19.248716327642104,2.0979828542612204,100.0,0.0
1685,27762,1,SPATIAL_IMBALANCE,P2P mean,49.3703848425926,74.35651614814815,338.67355722944444,0.8585445633119613,6.697681666666666,1287.9440155555556,22.72416222577785,30.279398903534887,85.85445633119613,19.229698866780357
1685,27762,1,SPATIAL_ISLANDS,Central,14.69835,44.70061333333333,365.10951059999996,1.0,0.5546,0.0,22.16012986676032,1.8299005835314461,100.0,0.0
1685,27762,1,SPATIAL_ISLANDS,P2P mean,83.52488634722224,110.8084384537037,314.0754213047222,0.7883439593689214,8.82826,1813.1045844444445,21.893162289161747,45.526911451767795,78.83439593689215,20.53750778119861
