taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,kHops,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
39,638,1,BASELINE,1000,0,3.890443,0.9826332288401254,1.7100933333333335,127.49886945741751
39,638,1,BASELINE,1000,1,3.8758705,0.9826175548589342,1.7100933333333335,126.6467229858799
39,638,1,BASELINE,1000,2,3.87172025,0.9824059561128526,1.7100933333333335,126.40403155383328
39,638,1,BASELINE,2000,0,2.834934666666667,0.9993103448275862,1.7100933333333335,65.77660478570371
39,638,1,BASELINE,2000,1,2.8365580833333333,0.9992789968652037,1.7100933333333335,65.87153625143264
39,638,1,BASELINE,2000,2,2.844306583333333,0.9993025078369906,1.7100933333333335,66.32464017558495
39,638,1,BASELINE,3000,0,3.8730443333333335,1.0,1.7100933333333335,126.48145910164747
39,638,1,BASELINE,3000,1,3.886485333333334,1.0,1.7100933333333335,127.2674395939403
39,638,1,BASELINE,3000,2,3.89102,0.9999843260188088,1.7100933333333335,127.53261030587022
39,638,1,RUSH_HOUR,1000,0,4.660435666666666,0.9786520376175549,1.9210166666666666,142.60256287903107
39,638,1,RUSH_HOUR,1000,1,4.589134,0.9792633228840126,1.9210166666666666,138.89089978396854
39,638,1,RUSH_HOUR,1000,2,4.58869775,0.980101880877743,1.9210166666666666,138.86819045470716
39,638,1,RUSH_HOUR,2000,0,2.928949333333333,0.9993730407523511,1.9210166666666666,52.46871014480179
39,638,1,RUSH_HOUR,2000,1,2.9219443333333333,0.9996238244514106,1.9210166666666666,52.10405948239214
39,638,1,RUSH_HOUR,2000,2,2.92868075,0.9995297805642632,1.9210166666666666,52.454728832822894
39,638,1,RUSH_HOUR,3000,0,3.914024666666667,0.9999373040752351,1.9210166666666666,103.74756422380513
39,638,1,RUSH_HOUR,3000,1,3.9118303333333335,0.9999059561128526,1.9210166666666666,103.63333651451923
39,638,1,RUSH_HOUR,3000,2,3.9178023333333334,0.9999059561128526,1.9210166666666666,103.94421356746864
39,638,1,SPATIAL_IMBALANCE,1000,0,10.024765666666667,0.8790595611285268,3.289476666666667,204.75259995764273
39,638,1,SPATIAL_IMBALANCE,1000,1,9.972430916666667,0.8797492163009405,3.289476666666667,203.16162500012663
39,638,1,SPATIAL_IMBALANCE,1000,2,9.972708166666667,0.87967868338558,3.289476666666667,203.1700533924849
39,638,1,SPATIAL_IMBALANCE,2000,0,5.446232,0.9814733542319749,3.289476666666667,65.56530268745891
39,638,1,SPATIAL_IMBALANCE,2000,1,5.209832416666666,0.9855329153605016,3.289476666666667,58.37876186992255
