level,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct,factor,basis
1000,26.178478628472224,44.20385969097222,225.82008784302081,0.8985541601461919,3.1890871875,223.03210916666666,14.709234657536463,16.283405435511774,89.8554160146192,6.993603374685617,p2pRqsRadius,equal-weight configuration means
2000,21.228235824652778,38.95487781944444,216.63068550791667,0.9500761378348482,3.0926683333333336,623.5786617708333,13.831572638741056,13.601852041525468,95.00761378348483,20.163127583057992,p2pRqsRadius,equal-weight configuration means
3000,18.81974815451389,36.68634403645833,223.52708281833333,0.9666027377610044,3.6732533333333333,1454.7148501041668,14.09231539203995,14.778952489986336,96.66027377610044,39.602900156741164,p2pRqsRadius,equal-weight configuration means
0,23.35264998611111,41.34991615277777,218.58718799166667,0.9309847658673889,2.7784108333333335,236.04689739583333,14.074150349641359,13.308791399847735,93.09847658673888,8.495752124340862,kHops,equal-weight configuration means
1,22.32113016145833,40.151925973958335,221.6077842661458,0.9382097882969,3.0972009375,608.840736875,14.19688742115653,14.093372013275001,93.82097882969,19.65777323335193,kHops,equal-weight configuration means
2,20.552682460069445,38.343239420138886,225.78288391145833,0.9460384815777556,4.079397083333333,1456.4379867708333,14.362084917519583,17.262046553900845,94.60384815777556,35.70228533822349,kHops,equal-weight configuration means
greedy,22.073306783564814,39.94767205555556,222.0050427975,0.9384041305053746,3.337107708333333,778.0200847222222,14.211996131660625,14.96829621864874,93.84041305053746,23.314203577528293,p2pStrategy,equal-weight configuration means
nearest,22.077668288194445,39.949048975694446,221.98019464868057,0.9384178933226549,3.2995648611111115,756.1969959722222,14.210085660551021,14.80784375936698,93.84178933226549,22.918082468534255,p2pStrategy,equal-weight configuration means
0,22.082683271990742,39.95814568171296,221.97627819270832,0.9383163706577814,3.3075140972222226,762.6068204166667,14.210369406696534,14.845834865266893,93.83163706577814,23.05679728038448,p2pOverlayMinNeighbors,equal-weight configuration means
1,22.068291799768517,39.93857534953703,222.0089592534722,0.9385056531702484,3.3291584722222223,771.6102602777778,14.211712385515115,14.930305112748826,93.85056531702483,23.177336456522777,p2pOverlayMinNeighbors,equal-weight configuration means
0,23.110428826388887,41.065148773148145,219.29130495986112,0.932827330610307,3.177552361111111,591.7772565277778,14.103712060668517,14.875921684229896,93.2827330610307,18.62368229616987,p2pOverlayShortcuts,equal-weight configuration means
1,21.04054624537037,38.83157225810185,224.69393248631943,0.9439946932177227,3.4591202083333332,942.4398241666667,14.318369731543129,14.900218293785825,94.39946932177227,27.245072949365678,p2pOverlayShortcuts,equal-weight configuration means
none,35.393795625,54.08554881944444,131.8267148611111,0.8602227086144805,3.409060763888889,794.2721388888889,9.186289668973972,19.87930395002421,86.02227086144805,23.298855429693848,idleRoamingMode,equal-weight configuration means
past-avg,12.163725850694444,29.639954230324072,214.5405236159722,0.9905748544914891,3.2194105902777777,775.6445388888889,13.214258274196466,11.553218014922827,99.05748544914891,24.092749810516235,idleRoamingMode,equal-weight configuration means
past-avg-revisit,33.646109108796296,52.149809667245364,136.72084180364584,0.8705526988153722,3.4755553819444445,754.6283107638889,9.396050153514318,19.415289141959736,87.05526988153723,21.71245248124063,idleRoamingMode,equal-weight configuration means
past-avg-total,12.013690627893517,29.508496877893517,215.44380833454863,0.9907800267699388,3.2378255208333333,768.1976223958333,13.265802235118306,11.610467752886738,99.07800267699388,23.72572633864838,idleRoamingMode,equal-weight configuration means
random,17.16011646701389,34.35799298321759,411.43120500017363,0.9799247708787934,3.2498291666666663,742.8000907986111,25.992804148726055,11.982071085245792,97.99247708787934,22.856588845268362,idleRoamingMode,equal-weight configuration means
