taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,idleRoamingMode,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
39,638,1,BASELINE,1000,none,6.177414166666666,0.9598092998955069,1.7100933333333335,261.2325740505391
39,638,1,BASELINE,1000,past-avg,2.5810352777777776,0.9964341692789969,1.7100933333333335,50.929497675240576
39,638,1,BASELINE,1000,past-avg-revisit,6.105399722222223,0.96021421107628,1.7100933333333335,257.02143287825743
39,638,1,BASELINE,1000,past-avg-total,2.538175972222222,0.9968521421107628,1.7100933333333335,48.42324233115281
39,638,1,BASELINE,1000,random,1.9946977777777777,0.9994514106583073,1.7100933333333335,16.642626393361226
39,638,1,BASELINE,2000,none,2.9925584722222225,0.998419540229885,1.7100933333333335,74.99386810596434
39,638,1,BASELINE,2000,past-avg,2.7561122222222223,0.999869383490073,1.7100933333333335,61.16735668748423
39,638,1,BASELINE,2000,past-avg-revisit,2.9761568055555556,0.9983281086729363,1.7100933333333335,74.03475866164548
39,638,1,BASELINE,2000,past-avg-total,2.765090277777778,0.9998693834900733,1.7100933333333335,61.692360520933235
39,638,1,BASELINE,2000,random,2.703081111111111,1.0,1.7100933333333335,58.066291378508254
39,638,1,BASELINE,3000,none,3.901661111111111,0.9999738766980147,1.7100933333333335,128.15486354221076
39,638,1,BASELINE,3000,past-avg,3.883666388888889,1.0,1.7100933333333335,127.10259803883348
39,638,1,BASELINE,3000,past-avg-revisit,3.8955394444444447,1.0,1.7100933333333335,127.79689087795076
39,638,1,BASELINE,3000,past-avg-total,3.8794077777777773,1.0,1.7100933333333335,126.85357004555952
39,638,1,BASELINE,3000,random,3.857308055555556,1.0,1.7100933333333335,125.56125916454204
39,638,1,RUSH_HOUR,1000,none,6.815996944444444,0.9564132706374086,1.9210166666666666,254.8119629941321
39,638,1,RUSH_HOUR,1000,past-avg,3.6801269444444444,0.9905303030303031,1.9210166666666666,91.57183840732483
39,638,1,RUSH_HOUR,1000,past-avg-revisit,6.608289027777778,0.9596003134796239,1.9210166666666666,243.99956764791796
39,638,1,RUSH_HOUR,1000,past-avg-total,3.698863888888889,0.9908045977011494,1.9210166666666666,92.54720446060102
39,638,1,RUSH_HOUR,1000,random,2.260502222222222,0.9993469174503656,1.9210166666666666,17.672181686202038
39,638,1,RUSH_HOUR,2000,none,3.0767404166666665,0.9989550679205852,1.9210166666666666,60.162088650974745
39,638,1,RUSH_HOUR,2000,past-avg,2.8924141666666667,0.9996865203761756,1.9210166666666666,50.56684394548028
39,638,1,RUSH_HOUR,2000,past-avg-revisit,3.0103055555555556,0.9990856844305119,1.9210166666666666,56.70377086207245
39,638,1,RUSH_HOUR,2000,past-avg-total,2.897397222222222,0.9998171368861023,1.9210166666666666,50.826240734796116
39,638,1,RUSH_HOUR,2000,random,2.7557666666666667,1.0,1.9210166666666666,43.453553240037834
39,638,1,RUSH_HOUR,3000,none,3.9284411111111113,0.9999477533960293,1.9210166666666666,104.49802332676855
