taxiCount,clientCount,taxiSeatCount,spawnScenario,level,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,calculationAvgMean,communicationAvgMean,kmPerServedClient,calculationMsPerServedClient,pickupPct,communicationSharePct,normalizedWaitingIndex,factor
39,638,1,BASELINE,1000,3.8793445833333333,11.599050361111113,127.67145689499999,0.9825522466039708,0.014586666666666666,0.08072833333333333,7.885158530963383,2.0667303032678803,98.25522466039708,0.5534392138939671,1.0977764141641766,p2pRqsRadius
39,638,1,BASELINE,2000,2.838599777777778,10.569734305555556,94.91692671333334,0.9992972831765935,0.004386666666666666,0.12848,5.805821929050305,0.6029237093295683,99.92972831765935,2.92887537993921,0.8032665875271545,p2pRqsRadius
39,638,1,BASELINE,3000,3.883516555555556,11.629021277777777,98.27045579666667,0.9999947753396029,0.0033533333333333336,0.19543249999999998,6.00715879010332,0.45884585037294395,99.99947753396029,5.828006958250496,1.0989569983086687,p2pRqsRadius
39,638,1,RUSH_HOUR,1000,4.6127558055555555,12.270545986111111,116.32994979833333,0.9793390804597701,0.013901666666666666,0.09100416666666668,7.210170985743603,1.9531905242821839,97.93390804597702,0.6546277424769212,1.20817785186371,p2pRqsRadius
39,638,1,RUSH_HOUR,2000,2.9265248055555557,10.615098249999999,95.570938665,0.9995088819226751,0.0047241666666666664,0.13219083333333334,5.844744356890591,0.6424010012006439,99.95088819226751,2.798183101076028,0.7665184549209255,p2pRqsRadius
39,638,1,RUSH_HOUR,3000,3.9145524444444444,11.630065833333333,98.28404714333332,0.9999164054336468,0.0035975000000000004,0.21791,6.008463801587551,0.4895424895301742,99.99164054336468,6.057261987491313,1.0253036932153643,p2pRqsRadius
39,638,1,SPATIAL_IMBALANCE,1000,9.98996825,16.583588055555555,115.16297832000001,0.8794958202716824,0.016990833333333333,0.09203583333333333,7.42195751941215,3.0421684913472684,87.94958202716823,0.5416793368973465,1.5423882745204134,p2pRqsRadius
39,638,1,SPATIAL_IMBALANCE,2000,5.251419083333333,11.625149222222223,89.1962035525,0.9844383490073145,0.011688333333333334,0.1549866666666667,5.522531324982636,1.6613178591113777,98.44383490073145,1.325994581491516,0.8107860822006187,p2pRqsRadius
39,638,1,SPATIAL_IMBALANCE,3000,4.189455888888889,10.763154111111112,91.10828651333333,1.0,0.003890833333333334,0.2773075,5.569315319780565,0.5335919540229884,100.0,7.127200685371599,0.6468256432789682,p2pRqsRadius
39,638,1,SPATIAL_ISLANDS,1000,12.542687361111112,20.900296986111112,125.71771147916667,0.8359926854754441,0.016829166666666666,0.07847333333333334,8.221821189516573,3.4051028245331056,83.59926854754441,0.46629363703887106,1.5911921531256095,p2pRqsRadius
