taxiCount,clientCount,taxiSeatCount,spawnScenario,waitingAvgMean,travelAvgMean,distanceAvgMean,servedRatio,kmPerServedClient,calculationAvgMean,calculationSumMean,calculationMsPerServedClient,communicationTotalMs,communicationMsPerServedClient,idleRoamingMode,variant
39,638,1,BASELINE,1.7100933333333335,9.456726666666667,76.5447456,1.0,4.679067521003135,0.003,254.8,0.39937304075235114,0.0,0.0,central,Central
39,638,1,RUSH_HOUR,1.9210166666666666,9.639435,78.07996010000001,1.0,4.772912921473354,0.0024000000000000002,217.9,0.3415360501567398,0.0,0.0,central,Central
39,638,1,SPATIAL_IMBALANCE,3.289476666666667,9.8634,79.8336429,1.0,4.880112967241379,0.0025,218.5,0.34247648902821315,0.0,0.0,central,Central
39,638,1,SPATIAL_ISLANDS,3.6515883333333337,11.113866666666667,90.0121192,1.0,5.502308226959248,0.0025,217.2,0.3404388714733543,0.0,0.0,central,Central
1685,27762,1,BASELINE,1.31656,32.715035,267.35106940000003,1.0,16.226732653951444,0.6234,56372.3,2.0305561558965493,0.0,0.0,central,Central
1685,27762,1,RUSH_HOUR,41.76129166666667,71.92939166666666,349.31721000000005,0.9480512931345003,22.363378658749355,0.6409,57802.8,2.1961078568149057,0.0,0.0,central,Central
1685,27762,1,SPATIAL_IMBALANCE,11.979215,38.78894666666666,317.1411648,1.0,19.248716327642104,0.644,58244.2,2.0979828542612204,0.0,0.0,central,Central
1685,27762,1,SPATIAL_ISLANDS,14.69835,44.70061333333333,365.10951059999996,1.0,22.16012986676032,0.5546,50801.7,1.8299005835314461,0.0,0.0,central,Central
39,638,1,BASELINE,4.35721125,12.126371296296297,81.97700839722222,0.9860675722744688,5.071774774284194,0.009625000000000002,849.661111111111,1.371855085457925,11.212352777777777,0.017735458283859043,none,P2P none
39,638,1,BASELINE,3.0736046296296298,10.772420509259259,105.60900804722222,0.9987678509230233,6.464686130256883,0.006159722222222223,538.5444444444444,0.8460848235147979,11.396058333333334,0.017874910766353655,past-avg,P2P past-avg
39,638,1,BASELINE,4.325698657407408,12.098670462962964,82.85857841111111,0.9861807732497387,5.125314229973412,0.010369444444444445,916.4000000000001,1.479225711204685,11.708456944444444,0.018493486312897003,past-avg-revisit,P2P past-avg-revisit
39,638,1,BASELINE,3.0608913425925923,10.761161712962963,105.88807170833334,0.9989071752002787,6.48073472353196,0.006327777777777778,553.5513888888888,0.8693995955515393,12.931305555555555,0.020282204414016552,past-avg-total,P2P past-avg-total
