rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceNormalizedRegret
11,2,15,3000,nearest,0,4,1,1,2000,random,8,0,0,95.67125264636121,219.35108713996146,63.326875455899156,147.36093735632534,15.006052239327403,58.4845003954735,3.9399178733520612,43.870217427992294
12,2,15,3000,nearest,1,4,1,1,2000,random,8,0,0,95.6570391165348,219.35108713996146,63.335341863673385,147.36093735632534,15.004075411311419,58.4845003954735,3.9399178733520612,43.870217427992294
13,1,15,3000,greedy,0,4,0,1,2000,past-avg,8,1,1,76.51089937369676,223.32346828045326,11.640317337948103,34.41411459714172,9.868991197002927,60.72898776034694,4.168287587349617,44.66469365609065
14,1,15,3000,nearest,1,4,0,1,2000,past-avg,8,1,1,76.5219976391174,223.38159271845709,11.635630431143905,34.41411459714172,9.864108034091716,60.740169560686155,4.144874288595924,44.676318543691416
15,1,15,3000,nearest,0,4,0,1,2000,past-avg,8,1,1,76.51881130235596,223.38617373151862,11.634651402518786,34.41411459714172,9.861876786449983,60.74219786991737,4.1380304012679225,44.677234746303725
16,1,15,3000,greedy,1,4,0,1,2000,past-avg,8,1,1,76.53901141713692,223.54830077298925,11.638413447066528,34.41411459714172,9.877496565703073,60.792130070698526,4.167567178157194,44.70966015459785
17,2,15,3000,greedy,0,4,0,1,2000,past-avg,8,1,1,75.96421526178555,224.01080593870896,11.661258929726507,34.425100713661095,9.694198651840852,59.734538318042496,4.090123189971906,44.80216118774179
18,2,15,3000,greedy,1,4,0,1,2000,past-avg,8,1,1,75.9650839074379,224.01080593870896,11.65964391127512,34.425100713661095,9.694692530522893,59.747748427612926,4.102370146243073,44.80216118774179
19,2,15,3000,nearest,0,4,0,1,2000,past-avg,8,1,1,76.15319555427166,224.15537461262684,11.62253375096678,34.41753425804699,9.74670446447141,60.05210293907977,4.0894027807794835,44.83107492252537
20,2,15,3000,nearest,1,4,0,1,2000,past-avg,8,1,1,76.13424679198542,224.15537461262684,11.6272423061779,34.41753425804699,9.740068251654998,60.02196166734179,4.084359916432534,44.83107492252537
21,1,15,2000,greedy,1,4,1,1,2000,past-avg-total,8,1,1,48.17892104889404,224.52652848789154,12.812747978418424,35.79125713420468,3.606690802366228,60.692511750770926,4.0584251855053655,44.90530569757831
22,1,15,3000,greedy,0,4,1,1,2000,past-avg,8,1,1,67.55138784029887,224.53730428794233,12.95791618009505,34.74563722841049,7.269537116430396,42.36478037885239,2.8103162596354703,44.90746085758847
23,1,15,3000,greedy,1,4,1,1,2000,past-avg,8,1,1,67.54879822132355,224.53730428794233,12.94914676890572,34.74563722841049,7.2681115285825,42.36478037885239,2.8103162596354703,44.90746085758847
24,1,15,3000,nearest,0,4,1,1,2000,past-avg,8,1,1,67.46772014861249,224.53730428794233,12.966671737285633,34.74563722841049,7.240492409691341,42.20294069044843,2.7861825516893646,44.90746085758847
25,1,15,3000,nearest,1,4,1,1,2000,past-avg,8,1,1,67.45991049983245,224.53730428794233,12.964410997076918,34.74563722841049,7.238605961708104,42.18826154808912,2.7807794827461985,44.90746085758847
26,1,15,3000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,75.98480374827642,225.15089830062186,12.203432240184261,35.790191606392696,9.679033579231364,59.66989714682516,4.044737410849364,45.030179660124375
27,1,15,3000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,75.98417902670661,225.15089830062186,12.202317391385687,35.790191606392696,9.678827255370553,59.674975376922504,4.0468986384266215,45.030179660124375
28,1,15,3000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,76.14931350308643,225.15102489315586,12.164407611149993,35.7692304035347,9.715125394954928,60.119887243903605,4.119659966861178,45.030204978631176
29,1,15,3000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,76.14512351854134,225.15102489315586,12.162364063825198,35.7692304035347,9.7135193639479,60.119887243903605,4.119659966861178,45.030204978631176
30,1,15,2000,greedy,0,4,1,1,2000,past-avg-total,8,1,1,48.27876111331233,225.47827930799488,12.797077843956783,35.78677149663947,3.649060297127728,60.96137085069082,4.083639507240111,45.09565586159898
31,1,15,2000,nearest,1,4,1,1,2000,past-avg-total,8,1,1,48.31469820907958,225.6982246306558,12.808866135567275,35.79076762802729,3.647111379209997,61.022324525897666,4.10561198760896,45.13964492613116
32,2,15,3000,greedy,0,4,1,1,2000,past-avg,8,1,1,53.74866804028621,226.1565493913431,14.555567967104137,34.6906038596156,3.2792741231040243,23.045341975271217,0.930048267415895,45.23130987826862
33,2,15,3000,greedy,1,4,1,1,2000,past-avg,8,1,1,53.75945622456404,226.1565493913431,14.553803791437451,34.6906038596156,3.2889010032497477,23.045341975271217,0.9390533823211644,45.23130987826862
34,2,15,3000,nearest,0,4,1,1,2000,past-avg,8,1,1,53.780872704196256,226.1565493913431,14.538129749881481,34.6906038596156,3.2767723920294713,23.045341975271217,0.9232043800878831,45.23130987826862
35,2,15,3000,nearest,1,4,1,1,2000,past-avg,8,1,1,53.776349957342134,226.1565493913431,14.535428427165197,34.6906038596156,3.276521799861082,23.045341975271217,0.9253656076651628,45.23130987826862
36,1,15,2000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,48.35313817459757,226.1719626125835,12.801144455838305,35.813611486530284,3.664688097399466,61.13866893996385,4.10561198760896,45.2343925225167
37,2,15,3000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,75.43649674052344,226.2518735695043,12.314874178710895,35.880120291001894,9.483118693346455,58.532578673044334,4.009797565016937,45.25037471390086
38,2,15,3000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,75.43676871557614,226.27504000324072,12.320787571915155,35.87802196387997,9.483087490367366,58.5254945047734,4.002233268496502,45.25500800064815
39,2,15,3000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,75.2759268857045,226.27719207632012,12.354914962162754,35.870943406071135,9.436631050655016,58.162151242667505,3.999711836323039,45.255438415264024
40,2,15,3000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,75.29199959721181,226.30187762046546,12.346911221348575,35.866870596478705,9.44562524205705,58.15775532982994,3.992507744398821,45.26037552409309
41,0,15,3000,greedy,0,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
42,0,15,3000,greedy,0,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
43,0,15,3000,greedy,1,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,45.271559959678015
