taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,seeds,deltaPctMean,deltaPctStd,deltaPctMin,deltaPctMax,metric
39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,none,10,263.4332670104601,30.98610106559677,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,past-avg,10,51.97993867093216,20.397406763936942,24.765049976285436,87.4431357886209,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,past-avg-total,10,49.49103914006026,19.869315947249323,24.769441565513752,78.55985542468996,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,0,1,2000,random,10,16.286495901178125,7.960527835640869,3.022291706922897,28.641196972051432,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,none,10,263.4332670104601,30.98610106559677,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,past-avg,10,51.97993867093216,20.397406763936942,24.765049976285436,87.4431357886209,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,past-avg-total,10,49.49103914006026,19.869315947249323,24.769441565513752,78.55985542468996,waiting
39,638,1,BASELINE,0,15,1000,greedy,0,4,1,1,2000,random,10,16.286495901178125,7.960527835640869,3.022291706922897,28.641196972051432,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,none,10,263.4332670104601,30.98610106559677,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,past-avg,10,51.97993867093216,20.397406763936942,24.765049976285436,87.4431357886209,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,past-avg-total,10,49.49103914006026,19.869315947249323,24.769441565513752,78.55985542468996,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,0,1,2000,random,10,16.286495901178125,7.960527835640869,3.022291706922897,28.641196972051432,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,none,10,263.4332670104601,30.98610106559677,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,past-avg,10,51.97993867093216,20.397406763936942,24.765049976285436,87.4431357886209,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,past-avg-total,10,49.49103914006026,19.869315947249323,24.769441565513752,78.55985542468996,waiting
39,638,1,BASELINE,0,15,1000,greedy,1,4,1,1,2000,random,10,16.286495901178125,7.960527835640869,3.022291706922897,28.641196972051432,waiting
39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,none,10,263.4332670104601,30.98610106559677,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,past-avg,10,51.97993867093216,20.397406763936942,24.765049976285436,87.4431357886209,waiting
39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,228.27129481616808,314.58660499290943,waiting
39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,past-avg-total,10,49.49103914006026,19.869315947249323,24.769441565513752,78.55985542468996,waiting
39,638,1,BASELINE,0,15,1000,nearest,0,4,0,1,2000,random,10,16.286495901178125,7.960527835640869,3.022291706922897,28.641196972051432,waiting
39,638,1,BASELINE,0,15,1000,nearest,0,4,1,1,2000,none,10,263.4332670104601,30.98610106559677,228.27129481616808,314.58660499290943,waiting
