variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=5),5,BASELINE,10,1,20000,1,4,1,n/a,0.0625,2307.3669999999997,23.7695,129.724
P2PCollector+nearest (k=5),5,BASELINE,20,1,1000,1,4,1,n/a,0.367,14665.925,149.858,17.175
P2PCollector+nearest (k=5),5,BASELINE,20,1,5000,1,4,1,n/a,0.3425,3920.041,40.403,78.99600000000001
P2PCollector+nearest (k=5),5,BASELINE,20,1,10000,1,4,1,n/a,0.27149999999999996,2017.7920000000001,18.6115,112.82249999999999
P2PCollector+nearest (k=5),5,BASELINE,20,1,20000,1,4,1,n/a,0.261,2173.9115,21.3825,128.4405
SinglePassenger,0,BASELINE,5,1,-1,-1,-1,-1,n/a,0.0,3251.04,39.935,193.621
SinglePassenger,0,BASELINE,10,1,-1,-1,-1,-1,n/a,0.0,2185.884,21.5885,131.768
SinglePassenger,0,BASELINE,20,1,-1,-1,-1,-1,n/a,0.0,2078.077,19.753,129.002
VehicleRouting,0,BASELINE,5,1,-1,-1,-1,-1,n/a,0.10900000000000001,3043.424,25.741000000000003,169.799
VehicleRouting,0,BASELINE,10,1,-1,-1,-1,-1,n/a,0.6685,2326.538,19.861,121.2565
VehicleRouting,0,BASELINE,20,1,-1,-1,-1,-1,n/a,7.622,2151.286,17.9855,112.3555
