metric,variant_k,spawnScenario,count,mean,median,std,min,max
Client Waiting Time [min],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,96,11.458958333333333,3.17,14.177367172932367,0.54,44.62
Client Waiting Time [min],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,96,14.885,2.2399999999999998,20.664435861491214,0.8,66.51
Client Waiting Time [min],SinglePassenger,BASELINE,8,0.555,0.51,0.21246848505803656,0.34,0.83
Client Waiting Time [min],SinglePassenger,RUSH_HOUR,8,0.59125,0.59,0.19960228312464617,0.39,0.8
Client Waiting Time [min],SinglePassenger,SPATIAL_IMBALANCE,8,1.825,1.845,0.2653299832284319,1.55,2.08
Client Waiting Time [min],SinglePassenger,SPATIAL_ISLANDS,8,2.1675,2.175,0.34478771937029806,1.79,2.53
Simulation Time [millis],P2PCollector+nearest (k=0),BASELINE,96,0.14635416666666667,0.115,0.14868631616270236,0.01,0.54
Simulation Time [millis],P2PCollector+nearest (k=0),RUSH_HOUR,96,0.8772916666666667,0.14,1.715807300655425,0.01,6.1
Simulation Time [millis],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,96,1.3867708333333333,0.185,2.5446978911957587,0.01,8.53
Simulation Time [millis],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,96,1.9529166666666666,0.21000000000000002,3.746457671950839,0.01,12.05
Simulation Time [millis],P2PCollector+nearest (k=1),BASELINE,96,0.275625,0.17,0.2696969546888156,0.01,0.76
Simulation Time [millis],P2PCollector+nearest (k=1),RUSH_HOUR,96,1.0429166666666667,0.245,1.8523060544354557,0.01,7.58
Simulation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,96,2.1254166666666667,0.26,3.0666868515735413,0.01,10.52
Simulation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,96,2.3755208333333333,0.33499999999999996,3.427273542687176,0.01,11.63
Simulation Time [millis],P2PCollector+nearest (k=2),BASELINE,96,0.420625,0.215,0.4462494287184904,0.01,1.32
Simulation Time [millis],P2PCollector+nearest (k=2),RUSH_HOUR,96,1.0672916666666667,0.285,1.6414265164094097,0.01,5.95
Simulation Time [millis],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,96,2.2705208333333333,0.325,3.222240596653095,0.01,12.18
Simulation Time [millis],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,96,2.44125,0.46,3.3462123914092867,0.01,10.44
Simulation Time [millis],SinglePassenger,BASELINE,8,0.058750000000000004,0.055,0.052218633784174344,0.01,0.11
Simulation Time [millis],SinglePassenger,RUSH_HOUR,8,0.05625,0.055,0.049551560448255746,0.01,0.11
Simulation Time [millis],SinglePassenger,SPATIAL_IMBALANCE,8,0.0575,0.055,0.05092010548749033,0.01,0.11
Simulation Time [millis],SinglePassenger,SPATIAL_ISLANDS,8,0.06,0.06,0.05345224838248487,0.01,0.11
Taxi Travel Distance [km],P2PCollector+nearest (k=0),BASELINE,96,153.08739583333332,127.84,81.45700081372985,66.51,388.98
Taxi Travel Distance [km],P2PCollector+nearest (k=0),RUSH_HOUR,96,99.55854166666667,96.695,21.342308856460715,66.41,143.3
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,96,91.64,106.41499999999999,31.831367647586077,33.59,129.04
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,96,96.21916666666668,112.24000000000001,42.560601936450354,24.23,150.72
Taxi Travel Distance [km],P2PCollector+nearest (k=1),BASELINE,96,153.9471875,127.485,83.19839417356089,66.71,397.78
Taxi Travel Distance [km],P2PCollector+nearest (k=1),RUSH_HOUR,96,100.28583333333334,97.91,21.073808821511463,67.07,144.05
Taxi Travel Distance [km],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,96,92.3015625,106.49,31.266608397630687,34.68,130.1
Taxi Travel Distance [km],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,96,97.18177083333335,111.28999999999999,41.33805604867955,25.13,150.94
Taxi Travel Distance [km],P2PCollector+nearest (k=2),BASELINE,96,152.32447916666666,126.655,79.9399363320894,66.84,375.81
Taxi Travel Distance [km],P2PCollector+nearest (k=2),RUSH_HOUR,96,101.28677083333334,99.505,20.459743554229224,68.47,143.5
Taxi Travel Distance [km],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,96,92.8334375,106.395,30.78763445650919,34.82,130.81
Taxi Travel Distance [km],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,96,98.07125,111.88,40.54774223710015,24.69,151.11
Taxi Travel Distance [km],SinglePassenger,BASELINE,8,86.1525,86.505,4.420729577795953,79.88,90.59
Taxi Travel Distance [km],SinglePassenger,RUSH_HOUR,8,87.33875,88.03,3.5891042953440473,83.15,90.88
Taxi Travel Distance [km],SinglePassenger,SPATIAL_IMBALANCE,8,95.19,95.57,8.071351453487472,86.75,103.4
Taxi Travel Distance [km],SinglePassenger,SPATIAL_ISLANDS,8,108.0725,108.525,10.194323000011892,96.16,118.81
