metric,variant_k,spawnScenario,count,mean,median,std,min,max
Client Travel Time [min],FillAllSeats,SPATIAL_IMBALANCE,20,1479.7795,1471.0100000000002,263.2679717157326,1000.84,1983.58
Client Travel Time [min],FillAllSeats,SPATIAL_ISLANDS,20,1601.5945,1521.92,342.0651392948271,1152.12,2469.74
Client Travel Time [min],P2PCollector+greedy (k=1),BASELINE,60,10192.323166666667,10853.48,2224.9296742803335,4522.84,13315.57
Client Travel Time [min],P2PCollector+greedy (k=1),RUSH_HOUR,60,11185.277333333333,11149.64,2324.8837571005697,6116.1,15914.44
Client Travel Time [min],P2PCollector+greedy (k=1),SPATIAL_IMBALANCE,60,8929.903,9051.11,1712.6367126320902,4668.32,13292.64
Client Travel Time [min],P2PCollector+greedy (k=1),SPATIAL_ISLANDS,60,10713.632833333333,10729.8,2171.8360501409484,6588.56,14927.42
Client Travel Time [min],P2PCollector+greedy (k=10),BASELINE,60,10191.816499999999,10853.48,2229.1218605592503,4522.84,13315.57
Client Travel Time [min],P2PCollector+greedy (k=10),RUSH_HOUR,60,11183.332666666665,11149.64,2317.1231344725784,6116.32,15914.44
Client Travel Time [min],P2PCollector+greedy (k=10),SPATIAL_IMBALANCE,60,8928.809833333333,9051.11,1716.6302652200495,4668.32,13292.64
Client Travel Time [min],P2PCollector+greedy (k=10),SPATIAL_ISLANDS,60,10688.465,10639.26,2182.358946737471,6559.36,14927.42
Client Travel Time [min],P2PCollector+greedy (k=2),BASELINE,60,10193.7825,10853.48,2227.6110901185302,4522.84,13315.57
Client Travel Time [min],P2PCollector+greedy (k=2),RUSH_HOUR,60,11198.153666666667,11149.64,2307.082743635984,6116.32,15914.44
Client Travel Time [min],P2PCollector+greedy (k=2),SPATIAL_IMBALANCE,60,8928.336833333333,9051.11,1717.3561059614328,4668.32,13292.64
Client Travel Time [min],P2PCollector+greedy (k=2),SPATIAL_ISLANDS,60,10688.576,10639.26,2182.164185524024,6559.36,14927.42
Client Travel Time [min],P2PCollector+greedy (k=3),BASELINE,60,10191.816499999999,10853.48,2229.1218605592503,4522.84,13315.57
Client Travel Time [min],P2PCollector+greedy (k=3),RUSH_HOUR,60,11183.338333333335,11149.64,2317.1153457724386,6116.32,15914.44
Client Travel Time [min],P2PCollector+greedy (k=3),SPATIAL_IMBALANCE,60,8928.809833333333,9051.11,1716.6302652200495,4668.32,13292.64
Client Travel Time [min],P2PCollector+greedy (k=3),SPATIAL_ISLANDS,60,10688.465,10639.26,2182.358946737471,6559.36,14927.42
Client Travel Time [min],P2PCollector+nearest (k=1),BASELINE,60,10192.32,10853.48,2224.9332443590833,4522.84,13315.57
Client Travel Time [min],P2PCollector+nearest (k=1),RUSH_HOUR,60,11185.277333333333,11149.64,2324.8837571005697,6116.1,15914.44
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,60,8929.903,9051.11,1712.6367126320902,4668.32,13292.64
