algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Waiting Time [min],4,30.28,1.1549458861782236,28.47,31.67,123.91499999999999,116.5,128.59
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Travel Time [min],4,2228.6625,44.30981627980417,2153.46,2267.79,7469.25,7037.0,7715.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.15,0.0,0.15,0.15,7.75,3.0,20.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Simulation Time [millis],4,0.1575,0.004330127018922198,0.15,0.16,7.75,3.0,20.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,39.900000000000006,0.6934334863561171,39.19,41.05,314.355,279.65,359.69
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Waiting Time [min],4,44.975,0.4304939023958412,44.48,45.55,198.335,192.92,205.32
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Client Travel Time [min],4,3281.9799999999996,26.92314153288944,3249.88,3319.62,11890.5,11552.0,12312.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Calculation Time [millis],4,7.57,0.16263455967290597,7.29,7.69,34.75,19.0,43.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_IMBALANCE,Simulation Time [millis],4,7.6899999999999995,0.16881943016134124,7.4,7.82,35.0,19.0,43.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,25.242500000000003,0.8735666832016895,24.23,26.12,102.72,80.04,123.02
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],4,42.260000000000005,1.6380018315008076,39.92,44.28,131.0525,122.14,138.38
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],4,3202.7724999999996,58.28046429765303,3128.71,3287.55,8481.5,8240.0,8704.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Calculation Time [millis],4,0.17250000000000001,0.0043301270189221855,0.17,0.18,2.5,2.0,3.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Simulation Time [millis],4,0.1825,0.004330127018922198,0.18,0.19,2.5,2.0,3.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,30.0725,0.6886717287648739,29.26,30.76,241.32,217.64,270.5
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Waiting Time [min],4,64.27250000000001,1.8554295324802845,62.35,66.73,220.7025,211.86999999999998,242.24
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Client Travel Time [min],4,4742.2675,73.49476490710042,4670.88,4848.98,13765.25,12884.0,14506.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Calculation Time [millis],4,11.16,0.33911649915626335,10.76,11.66,41.25,30.0,49.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,false,none,none,SPATIAL_ISLANDS,Simulation Time [millis],4,11.2975,0.3472301110214955,10.89,11.81,41.5,31.0,49.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Taxi Travel Distance [km],4,357.4825,16.11413568113412,330.3,370.63,83.7225,73.90000000000003,96.78999999999996
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Waiting Time [min],4,0.9099999999999999,0.03,0.86,0.94,8.26,6.180000000000001,10.33
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Client Travel Time [min],4,287.235,2.640383494873423,283.48,290.92,812.25,717.0,896.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Calculation Time [millis],4,0.0125,0.004330127018922193,0.01,0.02,3.5,3.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
