algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Waiting Time [min],1,21.78,0.0,21.78,21.78,125.77000000000001,125.77000000000001,125.77000000000001
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Travel Time [min],1,1631.73,0.0,1631.73,1631.73,7516.0,7516.0,7516.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Calculation Time [millis],1,0.25,0.0,0.25,0.25,6.0,6.0,6.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,88.59,0.0,88.59,88.59,594.2199999999999,594.2199999999999,594.2199999999999
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Waiting Time [min],1,8.97,0.0,8.97,8.97,86.17,86.17,86.17
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Travel Time [min],1,765.6,0.0,765.6,765.6,5316.0,5316.0,5316.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Calculation Time [millis],1,0.23,0.0,0.23,0.23,3.0,3.0,3.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Taxi Travel Distance [km],1,101.89,0.0,101.89,101.89,521.13,521.13,521.13
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Waiting Time [min],1,3.31,0.0,3.31,3.31,106.28999999999999,106.28999999999999,106.28999999999999
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Travel Time [min],1,474.15,0.0,474.15,474.15,6387.0,6387.0,6387.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Calculation Time [millis],1,0.24,0.0,0.24,0.24,4.0,4.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,153.13,0.0,153.13,153.13,266.93,266.93,266.93
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,1.24,0.0,1.24,1.24,19.87,19.87,19.87
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,305.07,0.0,305.07,305.07,1394.0,1394.0,1394.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,0.2,0.0,0.2,0.2,5.0,5.0,5.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],1,144.54,0.0,144.54,144.54,253.27,253.27,253.27
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],1,2.8,0.0,2.8,2.8,61.63,61.63,61.63
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],1,400.63,0.0,400.63,400.63,3821.0,3821.0,3821.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],1,0.27,0.0,0.27,0.27,8.0,8.0,8.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_IMBALANCE,Taxi Travel Distance [km],1,151.6,0.0,151.6,151.6,351.29,351.29,351.29
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Waiting Time [min],1,1.03,0.0,1.03,1.03,25.43,25.43,25.43
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,past-avg,past-avg,SPATIAL_IMBALANCE,Client Travel Time [min],1,263.35,0.0,263.35,263.35,1856.0,1856.0,1856.0
