metric,taxiCount,clientCount,spawnScenario,factor,level,count,mean,std,min,max,note
Calculation Time [millis],39,638,BASELINE,kHops,0,1200,0.0087575,0.006112132106098664,0.004,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,kHops,1,1200,0.009303333333333334,0.006288821825709369,0.004,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,kHops,2,1200,0.009494166666666666,0.00631121955058888,0.004,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pRqsRadius,1000,1200,0.0164575,0.005820775573199957,0.008,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pRqsRadius,2000,1200,0.006144166666666667,0.0015797031970324303,0.004,0.013,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pRqsRadius,3000,1200,0.004953333333333333,0.000738202552191656,0.004,0.012,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pStrategy,greedy,1800,0.009162777777777777,0.006206709154421298,0.004,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pStrategy,nearest,1800,0.009207222222222223,0.00628292134864137,0.004,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pOverlayShortcuts,0,1800,0.00923111111111111,0.006337104871571485,0.004,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,p2pOverlayShortcuts,1,1800,0.009138888888888889,0.006151111640824478,0.004,0.027,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,none,720,0.011115277777777778,0.007530321825352872,0.004,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,past-avg,720,0.007959722222222222,0.004167199548678237,0.004,0.028,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,past-avg-revisit,720,0.012569444444444446,0.00864912770069913,0.004,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,past-avg-total,720,0.007858333333333333,0.0038798989849632383,0.004,0.017,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,BASELINE,idleRoamingMode,random,720,0.0064222222222222215,0.0022622389873014777,0.004,0.012,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,kHops,0,1200,0.0085025,0.0051721000827570085,0.004,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,kHops,1,1200,0.009114166666666666,0.005211727262284153,0.004,0.024,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,kHops,2,1200,0.009385000000000001,0.005224096507556772,0.004,0.025,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pRqsRadius,1000,1200,0.015492500000000001,0.003943928569392077,0.008,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pRqsRadius,2000,1200,0.006358333333333333,0.0010396303421228333,0.004,0.011,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pRqsRadius,3000,1200,0.005150833333333334,0.0009885496096965743,0.004,0.013,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pStrategy,greedy,1800,0.008996666666666667,0.005216597064761242,0.004,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pStrategy,nearest,1800,0.009004444444444443,0.0052135051698343066,0.004,0.025,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pOverlayShortcuts,0,1800,0.009013888888888889,0.005258976960950443,0.004,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,p2pOverlayShortcuts,1,1800,0.008987222222222223,0.005170721122501938,0.004,0.025,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,idleRoamingMode,none,720,0.010227777777777778,0.006088207032785059,0.004,0.025,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,idleRoamingMode,past-avg,720,0.008561111111111111,0.0043653253627997865,0.004,0.017,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,idleRoamingMode,past-avg-revisit,720,0.011025,0.00691851540105674,0.004,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,idleRoamingMode,past-avg-total,720,0.008306944444444445,0.003893428234644619,0.004,0.017,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,RUSH_HOUR,idleRoamingMode,random,720,0.006881944444444445,0.002483594370725644,0.004,0.012,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,kHops,0,1200,0.011638333333333332,0.00885161886432767,0.004,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,kHops,1,1200,0.0122925,0.00917444380326401,0.004,0.034,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,kHops,2,1200,0.012581666666666668,0.009281259722720276,0.004,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pRqsRadius,1000,1200,0.018336666666666668,0.008916907998989391,0.007,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pRqsRadius,2000,1200,0.012864166666666666,0.009100076490466026,0.004,0.034,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pRqsRadius,3000,1200,0.005311666666666667,0.001091110744961466,0.004,0.016,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pStrategy,greedy,1800,0.012205555555555555,0.009126738549783893,0.004,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pStrategy,nearest,1800,0.01213611111111111,0.009096226143841733,0.004,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
