metric,variant_k,spawnScenario,count,mean,median,std,min,max
Client Travel Time [min],P2PCollector+nearest (k=0),BASELINE,200,3045.8407500000003,2347.58,1880.1154552554442,1155.92,10278.12
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,200,4407.6293,2133.59,4381.757982357338,937.28,17469.12
Client Travel Time [min],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,200,4137.0046,2106.3,3756.7113017534944,1051.44,16429.96
Client Travel Time [min],P2PCollector+nearest (k=1),BASELINE,200,3115.94695,2430.54,1904.7566348189027,1324.28,10768.24
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,200,4474.7468,2200.83,4334.495134110648,1059.58,17469.12
Client Travel Time [min],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,200,4164.66085,2196.7,3724.80242805872,1105.2,16429.96
Client Travel Time [min],P2PCollector+nearest (k=2),BASELINE,200,3121.0928999999996,2523.37,1748.2483478371041,1210.72,9908.44
Client Travel Time [min],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,200,4524.532200000001,2358.76,4309.685241845169,1051.24,17469.12
Client Travel Time [min],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,200,4200.95685,2338.1099999999997,3705.0681262503617,1140.26,16429.96
Client Travel Time [min],P2PCollector+nearest (k=5),BASELINE,200,3199.98315,2570.3199999999997,1867.1553005985722,1288.24,11704.28
Client Travel Time [min],P2PCollector+nearest (k=5),SPATIAL_IMBALANCE,200,4566.54895,2407.26,4281.346759206646,1039.52,17469.12
Client Travel Time [min],P2PCollector+nearest (k=5),SPATIAL_ISLANDS,200,4259.3253,2461.545,3658.3190712266237,1179.96,16429.96
Client Travel Time [min],SinglePassenger,BASELINE,50,2355.7924,2638.37,856.8285798544227,1168.08,3850.68
Client Travel Time [min],SinglePassenger,SPATIAL_IMBALANCE,50,2007.5235999999998,2192.34,631.9166868580326,1138.6,3222.72
Client Travel Time [min],SinglePassenger,SPATIAL_ISLANDS,50,2123.824,2292.245,657.2291079577492,1143.4,3177.16
Client Travel Time [min],VehicleRouting,BASELINE,50,2398.9766,2527.77,786.4810190857003,1220.12,3954.48
Client Travel Time [min],VehicleRouting,SPATIAL_IMBALANCE,50,2148.2588,2197.4849999999997,608.2781198299317,1264.48,3415.6
Client Travel Time [min],VehicleRouting,SPATIAL_ISLANDS,50,2358.1404,2418.16,647.0528299724429,1371.12,3426.25
