metric,variant_k,spawnScenario,count,mean,median,std,min,max
Simulation Time [millis],P2PCollector+nearest (k=1),BASELINE,6,5.010000000000001,0.905,7.090904032632229,0.01,15.16
Simulation Time [millis],P2PCollector+nearest (k=1),RUSH_HOUR,6,6.75,0.865,9.889851363898247,0.01,21.68
Simulation Time [millis],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,6,5.538333333333334,1.155,7.809100887212732,0.01,17.53
Simulation Time [millis],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,6,55.24333333333334,0.995,86.0500927754681,0.01,187.81
Simulation Time [millis],SinglePassenger,BASELINE,3,0.36999999999999994,0.15,0.5071488933242386,0.01,0.95
Simulation Time [millis],SinglePassenger,RUSH_HOUR,3,0.37666666666666665,0.14,0.5265295180076168,0.01,0.98
Simulation Time [millis],SinglePassenger,SPATIAL_IMBALANCE,3,0.37666666666666665,0.17,0.5029247790011279,0.01,0.95
Simulation Time [millis],SinglePassenger,SPATIAL_ISLANDS,3,0.37666666666666665,0.15,0.5185878260558507,0.01,0.97
Simulation Time [millis],VehicleRouting,BASELINE,1,0.74,0.74,,0.74,0.74
Taxi Travel Distance [km],P2PCollector+nearest (k=0),BASELINE,6,165.73333333333335,125.75999999999999,81.04144190885714,101.03,285.55
Taxi Travel Distance [km],P2PCollector+nearest (k=0),RUSH_HOUR,6,150.64,116.97999999999999,63.32302614373385,102.98,232.35
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,6,149.28333333333333,110.19,69.71286069776986,98.9,247.43
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,6,152.415,122.56,52.39564056293233,112.94,224.36
Taxi Travel Distance [km],P2PCollector+nearest (k=1),BASELINE,6,166.06333333333336,125.75999999999999,81.25925022215421,101.16,286.35
Taxi Travel Distance [km],P2PCollector+nearest (k=1),RUSH_HOUR,6,150.655,116.565,63.62521599177484,102.95,232.3
Taxi Travel Distance [km],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,6,149.32500000000002,110.06,69.50181918482421,99.43,246.98
Taxi Travel Distance [km],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,6,152.55666666666664,121.91499999999999,53.00376426883911,113.19,225.87
Taxi Travel Distance [km],SinglePassenger,BASELINE,3,110.71333333333332,83.52,56.14756391272317,73.34,175.28
Taxi Travel Distance [km],SinglePassenger,RUSH_HOUR,3,104.19000000000001,81.93,45.994872540316926,73.56,157.08
Taxi Travel Distance [km],SinglePassenger,SPATIAL_IMBALANCE,3,125.71333333333332,87.26,68.84955870107906,84.68,205.2
Taxi Travel Distance [km],SinglePassenger,SPATIAL_ISLANDS,3,143.75333333333333,99.43,79.29499753031924,96.53,235.3
Taxi Travel Distance [km],VehicleRouting,BASELINE,1,84.28,84.28,,84.28,84.28
