variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,60,1,2000,1,4,0,past-avg,0.04,287.22,1.01,125.59
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,60,1,2000,1,4,0,return-to-hq,0.12,296.17,1.17,109.67
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,60,1,2000,1,4,1,none,0.39,2115.77,24.15,53.81
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,60,1,2000,1,4,1,past-avg,0.06,285.23,0.98,129.01
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,60,1,2000,1,4,1,return-to-hq,0.14,294.41,1.15,109.05
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,0,none,0.24,960.62,10.11,67.64
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,0,past-avg,0.33,343.15,1.9,171.25
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,0,return-to-hq,0.46,295.21,1.07,356.87
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,1,none,0.34,926.04,9.88,68.77
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,1,past-avg,0.41,330.82,1.69,158.96
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,1,return-to-hq,0.69,294.29,1.05,303.84
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,0,none,0.1,330.59,1.66,89.48
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,0,past-avg,0.04,314.1,1.36,123.38
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,0,return-to-hq,0.09,315.21,1.38,149.24
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,1,none,0.14,328.06,1.61,90.12
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,1,past-avg,0.11,318.87,1.44,128.22
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,1,return-to-hq,0.13,322.45,1.5,139.31
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,0,none,0.2,592.37,5.71,74.92
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,0,past-avg,0.26,387.64,2.59,144.41
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,0,return-to-hq,0.24,1505.81,19.48,73.42
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,1,none,0.35,591.41,5.55,75.6
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,1,past-avg,0.47,354.96,2.03,155.88
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,1,return-to-hq,0.39,1517.27,19.59,73.06
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,0,none,0.11,339.97,1.76,89.56
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,0,past-avg,0.12,325.76,1.51,128.89
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,0,return-to-hq,0.22,759.02,8.43,97.94
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,1,none,0.19,341.43,1.77,90.31
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,1,past-avg,0.24,337.57,1.72,131.5
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,1,return-to-hq,0.37,774.97,8.78,97.17
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,0,none,0.23,2253.87,30.63,35.26
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,0,past-avg,0.22,283.55,1.37,145.19
