metric,taxiCount,clientCount,spawnScenario,factor,level,count,mean,std,min,max,note
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,kHops,0,1200,0.010688333333333334,0.009319795028416598,0.003,0.033,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,kHops,1,1200,0.010615833333333335,0.009378159425000355,0.003,0.034,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,kHops,2,1200,0.011265833333333334,0.009893688402076682,0.003,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pRqsRadius,1000,1200,0.016990833333333333,0.009460020752236729,0.005,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pRqsRadius,2000,1200,0.011688333333333334,0.00974304724903711,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pRqsRadius,3000,1200,0.003890833333333334,0.0012702731860489247,0.003,0.015,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pStrategy,greedy,1800,0.010891666666666668,0.009551995591957302,0.003,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pStrategy,nearest,1800,0.010821666666666667,0.00952215038586847,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pOverlayShortcuts,0,1800,0.01083111111111111,0.009495285913206005,0.003,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,p2pOverlayShortcuts,1,1800,0.010882222222222222,0.009578760757494214,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,idleRoamingMode,none,720,0.018494444444444445,0.010878771724735845,0.003,0.036,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,idleRoamingMode,past-avg,720,0.005511111111111111,0.002763237481371759,0.003,0.016,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,idleRoamingMode,past-avg-revisit,720,0.01844166666666667,0.010750654150941572,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,idleRoamingMode,past-avg-total,720,0.005395833333333334,0.0025084523319229913,0.003,0.014,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_IMBALANCE,idleRoamingMode,random,720,0.006440277777777777,0.00364362226813993,0.003,0.019,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,kHops,0,1200,0.011413333333333333,0.008443057892594582,0.003,0.029,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,kHops,1,1200,0.011291666666666667,0.00859320273044501,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,kHops,2,1200,0.011758333333333332,0.008871425047544549,0.003,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pRqsRadius,1000,1200,0.016829166666666666,0.008270952576295043,0.006,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pRqsRadius,2000,1200,0.011811666666666666,0.009227250349538935,0.003,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pRqsRadius,3000,1200,0.0058225,0.0031009149420611745,0.003,0.019,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pStrategy,greedy,1800,0.011523888888888887,0.00866525820213774,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pStrategy,nearest,1800,0.011451666666666666,0.0086120704297672,0.003,0.031,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pOverlayShortcuts,0,1800,0.011486111111111112,0.008677075301350833,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,p2pOverlayShortcuts,1,1800,0.011489444444444444,0.00860031539697404,0.003,0.03,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,idleRoamingMode,none,720,0.019352777777777778,0.00721326185954065,0.005,0.029,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,idleRoamingMode,past-avg,720,0.005851388888888889,0.0028404730871786576,0.003,0.015,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,idleRoamingMode,past-avg-revisit,720,0.019493055555555555,0.008842302961666377,0.003,0.035,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,idleRoamingMode,past-avg-total,720,0.005908333333333333,0.002944065953636268,0.003,0.016,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],39,638,SPATIAL_ISLANDS,idleRoamingMode,random,720,0.006833333333333334,0.003962620899732027,0.003,0.019,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,kHops,0,1200,3.9477891666666665,1.167452282569202,2.04,6.338,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,kHops,1,1200,3.9426491666666665,1.1549657004533331,1.978,6.361,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,kHops,2,1200,4.351905,1.176563204898458,2.149,6.683,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pRqsRadius,1000,1200,5.170106666666666,0.6862233800994048,3.393,6.683,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pRqsRadius,2000,1200,3.8991499999999997,1.0435190403100343,2.034,5.689,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pRqsRadius,3000,1200,3.173086666666667,0.7658269364349652,1.978,5.24,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pStrategy,greedy,1800,4.0903583333333335,1.1882822566387454,1.978,6.596,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pStrategy,nearest,1800,4.071203888888889,1.1753287851883247,2.023,6.683,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pOverlayShortcuts,0,1800,4.077149444444444,1.1889469892263298,1.978,6.596,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,p2pOverlayShortcuts,1,1800,4.084412777777778,1.1747232385623925,2.023,6.683,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,idleRoamingMode,none,720,3.534025,1.0640831842567955,1.978,6.338,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,idleRoamingMode,past-avg,720,4.834269444444445,0.8480277107680906,3.14,6.683,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,idleRoamingMode,past-avg-revisit,720,4.077538888888889,1.1131631863439024,2.296,6.198,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,idleRoamingMode,past-avg-total,720,4.918504166666667,0.7284951891361923,3.482,6.529,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,BASELINE,idleRoamingMode,random,720,3.0395680555555558,0.8439581381174567,2.034,5.436,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,kHops,0,1200,5.0763316666666665,1.2121356651476032,2.959,7.499,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,kHops,1,1200,5.892294166666667,1.5294795315173109,3.324,10.535,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,kHops,2,1200,9.739693333333333,5.161819021168309,3.835,27.945,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pRqsRadius,1000,1200,5.899464166666666,1.1306045665723565,3.315,8.26,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pRqsRadius,2000,1200,6.244329166666667,2.250268364123441,2.959,13.638,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pRqsRadius,3000,1200,8.564525833333335,5.6851822017024904,3.125,27.945,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pStrategy,greedy,1800,6.967692777777778,3.8965822671549035,2.959,27.945,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pStrategy,nearest,1800,6.837853333333333,3.6577569998224106,2.972,25.819,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pOverlayShortcuts,0,1800,6.087470555555556,1.9771878877704334,3.006,13.277,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,p2pOverlayShortcuts,1,1800,7.718075555555556,4.830271855468857,2.959,27.945,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,idleRoamingMode,none,720,6.2143125,2.70618764445856,3.125,18.843,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,idleRoamingMode,past-avg,720,8.52625138888889,4.2656163303821755,5.447,26.564,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,idleRoamingMode,past-avg-revisit,720,6.141731944444444,2.8631218742572204,3.277,18.868,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,idleRoamingMode,past-avg-total,720,8.568473611111111,4.39252601432332,5.604,27.945,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,RUSH_HOUR,idleRoamingMode,random,720,5.063095833333334,2.935105249677832,2.959,17.719,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,kHops,0,1200,5.8122175,1.6051537332240657,2.936,8.168,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,kHops,1,1200,6.4132925,2.0332112745645152,2.945,10.074,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,kHops,2,1200,7.867534999999999,3.090060278680644,3.319,16.569,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pRqsRadius,1000,1200,6.6600174999999995,1.041545054527613,4.833,9.757,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pRqsRadius,2000,1200,6.1267008333333335,2.3206782458870547,2.945,10.785,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pRqsRadius,3000,1200,7.306326666666667,3.365330682185026,2.936,16.569,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pStrategy,greedy,1800,6.734566111111111,2.5213592814149055,2.969,16.569,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pStrategy,nearest,1800,6.660797222222222,2.442564221714927,2.936,15.189,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pOverlayShortcuts,0,1800,6.538779444444445,2.2383972070181337,2.936,12.523,descriptive marginal screen; crossed factors and repeated seeds not modeled
Calculation Time [millis],1685,27762,SPATIAL_IMBALANCE,p2pOverlayShortcuts,1,1800,6.856583888888889,2.6953933071500797,2.945,16.569,descriptive marginal screen; crossed factors and repeated seeds not modeled
