timestamp,algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,runIndex,worldSeed,metric,min,max,avg,sum,count,spread
2026-06-17T16:16:46.464606872Z,TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,4,112351616,Custom Time [micros],0.0,0.0,0.0,0.0,88449,0.0
2026-06-17T16:16:46.464606872Z,TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,false,none,none,BASELINE,4,112351616,Simulation Time [millis],0.0,2.0,0.02,1480.0,88449,2.0
2026-06-17T16:20:28.858566398Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,1,112351613,Taxi Travel Distance [km],0.0,598593.1,265489.41,4.473496637E8,1685,598593.1
2026-06-17T16:20:28.858566398Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,1,112351613,Client Waiting Time [min],3.0,10058.0,259.95,7208128.0,27729,10055.0
2026-06-17T16:20:28.858566398Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,1,112351613,Client Travel Time [min],62.0,11150.0,2124.28,5.8974199E7,27762,11088.0
2026-06-17T16:20:28.858566398Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,1,112351613,Calculation Time [millis],0.0,15.0,1.95,182764.0,93861,15.0
2026-06-17T16:20:28.858566398Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,1,112351613,Custom Time [micros],0.0,0.0,0.0,0.0,93861,0.0
2026-06-17T16:20:28.858566398Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,1,112351613,Simulation Time [millis],0.0,16.0,2.36,221557.0,93861,16.0
2026-06-17T16:24:10.295174320Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,2,112351614,Taxi Travel Distance [km],0.0,569531.24,265869.77,4.479905635E8,1685,569531.24
2026-06-17T16:24:10.295174320Z,TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,false,none,none,BASELINE,2,112351614,Client Waiting Time [min],3.0,9275.0,220.9,6127993.0,27741,9272.0
