algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Taxi Travel Distance [km],10,4.311,0.711216563361681,2.56,5.0,9.417000000000002,6.09,14.32
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Waiting Time [min],10,3.7290000000000005,0.6030497491915572,2.71,5.04,10.845,8.37,14.08
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Travel Time [min],10,314.11699999999996,35.720783320078525,260.19,379.25,850.1,774.0,945.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.3,0.0,1.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Taxi Travel Distance [km],10,6.523999999999999,0.7647117103850313,5.18,7.7,11.421000000000001,7.18,18.07
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Waiting Time [min],10,1.6040000000000003,0.21453204888780605,1.34,2.16,9.033000000000001,7.34,12.270000000000001
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Travel Time [min],10,196.894,19.360605465738924,160.59,232.18,791.0,591.0,965.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.2,0.0,1.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Taxi Travel Distance [km],10,7.505000000000001,0.6136000325945232,6.7,8.45,6.745,3.88,10.02
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Waiting Time [min],10,1.035,0.3375574025258519,0.42,1.57,9.159,4.8,11.34
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Travel Time [min],10,166.999,20.64643090221649,139.44,200.93,768.8,666.0,906.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.3,0.0,1.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,BASELINE,Taxi Travel Distance [km],10,2.75,0.5160813889300794,1.86,3.46,3.3579999999999997,2.2300000000000004,5.09
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,BASELINE,Client Waiting Time [min],10,3.161,0.718017409259692,1.88,4.33,10.98,6.3500000000000005,13.97
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,BASELINE,Client Travel Time [min],10,312.543,38.466544697957985,239.86,374.53,853.5,757.0,933.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,BASELINE,Calculation Time [millis],10,0.009999999999999998,1.734723475976807E-18,0.01,0.01,0.2,0.0,1.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,RUSH_HOUR,Taxi Travel Distance [km],10,2.7840000000000003,0.4518008410793411,2.13,3.45,4.482000000000001,3.5,5.78
TaxiAlgorithmP2PCollector,0,100,6,80,1,nearest,1,4,1,false,none,none,RUSH_HOUR,Client Waiting Time [min],10,2.9930000000000003,0.5936505706221463,2.12,3.78,12.108,10.4,13.969999999999999
