metric,test,F,p_value
Calculation Time [millis],ANOVA(avg ~ variant_k),60.939492298870206,1.7272438916910924e-22
Client Travel Time [min],ANOVA(avg ~ variant_k),0.8854188927500732,0.451453260804051
Client Waiting Time [min],ANOVA(avg ~ variant_k),0.7243311853808068,0.5397893227807453
Taxi Travel Distance [km],ANOVA(avg ~ variant_k),0.36169587138386794,0.7807901020816967
